,Type of property,Location,Postcode,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2,Province,Region
6289,house,grembergen,9200,10649872,279000,Durmelaan 24,3,B,199.0,0,0,0,181,17,3,1918,Good,0,1,0,0,1,0,0,279000,€279000,0,Oost-Vlaanderen,Flanders
6290,house,koekelare,8680,10649869,359000,Ommegangstraat 4A,3,B,145.0,0,0,0,500,0,4,1952,Good,0,0,0,0,2,0,0,359000,€359000,0,West-Vlaanderen,Flanders
6291,house,deerlijk,8540,10649866,265000,Vierkeerstraat 2 bus 2,4,C,279.0,0,0,0,169,29,2,1937,Good,0,2,0,0,2,0,Electric,265000,€265000,0,West-Vlaanderen,Flanders
6292,house,harelbeke,8530,10649865,279000,Vierkeerstraat 2 bus 2,4,C,216.0,0,0,0,239,28,3,1957,Good,0,2,0,0,2,0,Gas,279000,€279000,0,West-Vlaanderen,Flanders
6293,apartment,kuurne,8520,10649864,149900,Vierkeerstraat 2 bus 2,1,C,284.0,0,0,0,0,43,3,1899,Good,0,1,0,0,1,0,Electric,149900,€149900,0,West-Vlaanderen,Flanders
6294,apartment,heule,8501,10649863,161000,Vierkeerstraat 2 bus 2,3,E,436.0,0,0,0,0,29,3,1984,Good,0,1,0,0,1,0,Electric,161000,€161000,0,West-Vlaanderen,Flanders
6295,service-flat,grobbendonk,2280,10649861,210000,Antwerpsesteenweg 359,1,B,149.0,0,0,0,0,0,4,2013,0,0,1,0,0,1,Installed,Gas,210000,€210000,0,Antwerpen,Flanders
6296,house,sint-niklaas,9100,10649856,275000,Mercatorstraat 64,5,D,308.0,0,0,0,100,0,4,0,0,0,2,0,0,1,0,Wood,275000,€275000,0,Oost-Vlaanderen,Flanders
6299,house,haneffe,4357,10599840,199000,Avenue Edmond Leburton 10,2,G,633.0,0,0,0,915,26,3,0,To renovate,0,1,0,1,0,0,0,199000,€199000,0,Liï¿½ge,Wallonia
6300,apartment,merchtem,1785,10649847,25000,Meyskensstraat 222,2,B,159.0,0,1,0,0,0,4,2012,Good,0,1,0,0,1,Installed,Gas,25000,€25.000,1,Vlaams-Brabant,Flanders
