,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Price_orig,Terrace2,Province,Region
4014,105000,Avenuedes Ardennes 7d,1,B,159,0,0,0,35,0,2,0,Good,0,1,0,0,1,Semi equipped,Gas,10655022,4500,105000,€105000,0,Liï¿½ge,Wallonia
4015,179000,Avenue de Maire 202,3,D,285,0,0,0,0,35,2,0,0,0,1,0,0,2,0,Gas,10655018,7712,179000,€179000,0,Hainaut,Wallonia
4016,195000,Avenue de Maire 202,1,C,175,0,0,0,0,0,2,2009,Just renovated,0,1,1,0,0,0,Gas,10655017,7700,195000,€195000,0,Hainaut,Wallonia
4017,245000,Begijnhof 58,2,C,291,0,1,25,0,0,0,1982,To be done up,0,1,0,0,1,0,Gas,10576608,3800,245000,€245000,1,Limburg,Flanders
4018,245000,Begijnhof 58,2,C,291,0,1,26,0,0,2,1982,To be done up,0,1,0,0,2,Installed,Gas,10576607,3800,245000,€245000,1,Limburg,Flanders
4019,305000,Abeelstraat 9A,3,B,148,0,1,8,0,38,2,0,Just renovated,0,1,0,0,2,Installed,Gas,10655014,7760,305000,€305000,1,Hainaut,Wallonia
4020,305000,Abeelstraat 9A,3,B,148,0,1,8,0,38,2,0,Just renovated,0,1,0,0,2,Installed,Gas,10655013,7760,305000,€305000,1,Hainaut,Wallonia
4021,315000,Avenue Louise 231,2,F,299,0,1,14,0,39,3,1978,Good,0,1,0,0,1,Installed,Gas,10655011,1180,315000,€315000,1,Brussels Hoofdstedelijk Gewest,Brussels
4022,1340000,Bld. Brand Whitlock 108,3,B,88,0,1,0,0,70,2,2023,As new,0,2,0,1,3,USA hyper equipped,Gas,10655004,1180,1340000,€1340000,1,Brussels Hoofdstedelijk Gewest,Brussels
4023,375000,Rue de la Brasserie 95,1,Not specified,Not specified,0,0,0,0,35,2,1939,0,0,1,0,1,1,0,0,10654994,1040,375000,€375000,0,Brussels Hoofdstedelijk Gewest,Brussels
4024,310000,Vichteplaats 13,3,Not specified,Not specified,0,1,0,170,0,2,2023,0,0,1,0,0,2,USA installed,Gas,10654993,8570,310000,€310000,1,West-Vlaanderen,Flanders
4025,335000,Vichteplaats 13,3,Not specified,Not specified,0,1,0,185,0,2,2023,0,0,1,0,0,0,Installed,Gas,10654992,8570,335000,€335000,1,West-Vlaanderen,Flanders
4026,320000,Vichteplaats 13,3,Not specified,Not specified,0,1,0,164,0,3,2023,0,0,1,0,0,0,Installed,Gas,10654991,8570,320000,€320000,1,West-Vlaanderen,Flanders
4027,335000,Vichteplaats 13,3,Not specified,Not specified,0,1,0,191,0,2,2023,0,0,1,0,0,0,Installed,Gas,10654990,8570,335000,€335000,1,West-Vlaanderen,Flanders
4028,159000,Paul de Smet de Naeyerstraat 4,0,C,245,1,0,0,0,0,0,0,Just renovated,0,1,0,0,1,Installed,Electric,10496949,8430,159000,€159000,0,West-Vlaanderen,Flanders
4029,165000,Boterstraat 39,3,F,1059,0,0,0,1035,0,4,1921,To renovate,0,1,0,0,2,Semi equipped,Wood,10463129,8650,165000,€165000,0,West-Vlaanderen,Flanders
