,property_type,property_subtype,immo_code,location,postcode,province,region,price,address,energy_class,primary_energy_consumption,furnished,terrace,terrace_surface,plot_surface,living_room_surface,frontages,construction_year,building_condition,bedrooms,bathrooms,shower_rooms,office,toilets,kitchen_type,heating_type,price_orig
4215,house,house,10655360,marchienne-au-pont,6030,Hainaut,Wallonia,90000,Rue de Montigny 38,G,558,0,1,10,0,25,2,0,0,2,1,0,0,1,0,0,€90000
4216,house,house,10655356,chatelineau,6200,Hainaut,Wallonia,249900,Rue de la Station 16,D,300,0,1,8,115,0,3,0,Just renovated,4,1,0,0,0,0,0,€249900
4217,house,house,10655352,tourinnes-la-grosse,1320,Brabant wallon,Wallonia,499000,"Avenue des Combattants, 9",D,323,0,1,24,525,30,3,0,0,3,1,1,0,3,Installed,Electric,€499000
4219,apartment,apartment,10655347,jalhay,4845,Liï¿½ge,Wallonia,360000,Avenue Elisabeth 144,B,166,0,1,12,0,70,4,2012,0,3,1,0,0,2,USA installed,Fuel oil,€360000
4220,apartment,ground-floor,10655346,hamont-achel,3930,Limburg,Flanders,289000,Kapittelhof 22,C,225,0,1,0,0,0,3,2004,Good,3,1,0,0,0,0,Gas,€289000
4221,apartment,apartment,10655344,wuustwezel,2990,Antwerpen,Flanders,174000,Bredabaan 467a,B,172,0,1,0,0,0,2,2000,Good,1,1,0,0,0,Installed,Gas,€174000
4223,house,house,10404348,marchienne-au-pont,6030,Hainaut,Wallonia,125000,Rue du Bosquet 8/7,F,441,0,0,0,200,60,3,0,0,3,1,0,0,1,Semi equipped,Pellet,€125000
4224,apartment,apartment-block,10655330,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,525000,Rue Alexandre Markelbach 78,G,677,0,1,5,0,0,2,1930,0,5,0,3,0,3,0,Gas,€525000
4225,apartment,apartment,10655329,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,169000,Rue Alexandre Markelbach 78,G,829,0,1,3,0,14,2,1930,0,2,0,1,0,1,0,Gas,€169000
4226,apartment,ground-floor,10655328,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,179000,Rue Alexandre Markelbach 78,G,677,0,1,5,0,14,2,1930,To be done up,1,0,1,0,1,0,Gas,€179000
4227,apartment,apartment,10655327,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,179000,Rue Alexandre Markelbach 78,E,274,0,1,3,0,14,2,1930,0,2,0,1,0,1,0,Gas,€179000
4228,apartment,duplex,10655326,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,179000,Rue Alexandre Markelbach 78,G,677,0,1,5,0,14,2,1930,To be done up,3,0,1,0,1,0,Gas,€179000
4229,apartment,apartment,10655309,gent,9000,Oost-Vlaanderen,Flanders,595000,Lotenhullestraat 87,C,240,0,1,10,0,0,0,1938,Good,4,1,0,1,2,Semi equipped,Gas,€595000
4230,apartment,apartment,10655308,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,375000,rue de la roche 6,C,107,0,0,0,0,0,0,0,Good,2,1,0,0,1,Hyper equipped,Gas,€375000
4231,house,house,10655303,rixensart,1330,Brabant wallon,Wallonia,375000,"Avenue Albert Ier, 304",F,472,0,0,0,525,25,0,1930,0,3,0,1,0,1,Semi equipped,0,€375000
4232,house,house,10655301,blankenberge,8370,West-Vlaanderen,Flanders,239000,Franchommelaan 82-86,D,369,1,0,0,0,0,2,1933,To renovate,3,1,0,0,3,Semi equipped,Gas,€239000
4233,apartment,apartment,10655300,tielt,8700,West-Vlaanderen,Flanders,149000,Vredestraat 12,C,225,0,0,0,0,18,2,2008,Good,1,1,0,0,0,0,Gas,€149000
4234,house,villa,10655299,schoten,2900,Antwerpen,Flanders,949000,"Bredabaan, 896",C,236,0,0,0,1934,56,4,1993,0,4,1,0,0,2,0,Gas,€949000
4235,house,house,10655298,oostrozebeke,8780,West-Vlaanderen,Flanders,230000,Vredestraat 12,F,754,0,1,0,256,33,2,1951,To be done up,3,1,0,0,0,0,Gas,€230000
4236,house,house,10655296,oostrozebeke,8780,West-Vlaanderen,Flanders,375000,Vredestraat 12,E,422,0,1,0,556,50,3,1967,Good,3,1,0,0,0,0,Gas,€375000
4237,house,house,10655295,oostrozebeke,8780,West-Vlaanderen,Flanders,210000,Vredestraat 12,C,265,0,1,0,1443,27,3,1972,To be done up,2,1,0,0,0,0,Gas,€210000
4238,apartment,duplex,10655293,anderlecht,1070,Brussels Hoofdstedelijk Gewest,Brussels,239000,"Avenue d'Itterbeek, 60",D,193,0,0,0,0,23,2,0,As new,3,1,0,0,1,Semi equipped,Gas,€239000
4239,house,villa,10655292,tielt,8700,West-Vlaanderen,Flanders,500000,Vredestraat 12,E,422,0,1,0,849,45,4,1965,Good,4,1,0,0,0,0,Gas,€500000
4241,house,house,10655290,pittem,8740,West-Vlaanderen,Flanders,260000,Vredestraat 12,E,471,0,1,0,586,44,4,1978,Good,4,2,0,1,0,0,Fuel oil,€260000
4242,house,house,10655288,tielt,8700,West-Vlaanderen,Flanders,249000,Vredestraat 12,C,215,0,1,0,85,30,2,1933,Good,4,2,0,0,0,0,Gas,€249000
4245,apartment,apartment,10655273,forest,1190,Brussels Hoofdstedelijk Gewest,Brussels,169000,Chaussée de Bruxelles 165,G,376,0,1,4,0,17,0,0,To renovate,1,1,0,0,1,Installed,Gas,€169000
4246,house,villa,10655272,theux,4910,Liï¿½ge,Wallonia,469000,"Rue Centrale,30",E,349,0,1,90,1491,0,4,0,Good,5,1,1,1,2,Installed,Fuel oil,€469000
4248,house,house,10655268,laeken,1020,Brussels Hoofdstedelijk Gewest,Brussels,449900,Rue de Wand 25,G,462,0,1,0,196,38,2,1950,0,5,0,3,0,3,Installed,Gas,€449900
4253,house,house,10655252,saint-servais,5002,Namur,Wallonia,180000,"Avenue d’ECOLYS, 2 bte 2",G,562,0,0,0,150,26,2,1920,To renovate,3,1,0,0,1,Not installed,0,€180000
4254,house,house,10655251,bierges,1301,Brabant wallon,Wallonia,415000,"Place Albert 1er, 20",E,368,0,1,15,830,61,4,1900,To be done up,5,2,2,1,2,USA installed,Gas,€415000
4256,apartment,duplex,10564776,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,585000,Av. Louise 195,E,214,0,0,0,0,0,2,1899,0,3,1,2,0,4,Installed,Gas,€585000
4258,apartment,apartment-block,10655225,izegem,8870,West-Vlaanderen,Flanders,650000,Gentsestraat 3 bus 1,F,584,0,0,0,2355,0,4,0,Good,2,1,0,0,0,0,Gas,€650000
4259,apartment,ground-floor,10655224,kapellen,2950,Antwerpen,Flanders,1395000,Dr. Roosensplein 9,B,182,0,1,100,0,0,0,1995,Good,4,2,0,0,0,0,Electric,€1395000
4260,house,house,10655223,ardooie,8850,West-Vlaanderen,Flanders,695000,Grote Markt 13,C,297,0,1,0,1764,0,4,1976,As new,3,2,0,0,2,Installed,Gas,€695000
4261,house,house,10655222,roeselare,8800,West-Vlaanderen,Flanders,695000,Grote Markt 13,C,297,0,0,0,1764,0,4,1976,As new,0,0,0,0,0,Installed,Gas,€695000
4262,apartment,apartment,10655220,middelkerke,8430,West-Vlaanderen,Flanders,265000,Leopoldlaan 1,B,126,0,1,4,0,0,2,0,Good,2,1,0,0,1,Installed,Gas,€265000
4263,apartment,apartment,10655219,zeebrugge,8380,West-Vlaanderen,Flanders,355000,Kursaalstraat 14,B,104,0,1,10,0,0,2,2005,Good,3,1,0,0,1,Installed,Gas,€355000
4264,apartment,apartment,10655218,wuustwezel,2990,Antwerpen,Flanders,249000,Bredabaan 467a,A,95,0,1,0,0,0,2,2007,Good,2,1,0,0,1,Installed,Gas,€249000
4265,house,house,10655216,herent,3020,Vlaams-Brabant,Flanders,345000,Diestsesteenweg 427 C,F,593,0,0,0,145,28,3,1956,To be done up,2,1,0,0,1,0,Gas,€345000
4267,apartment,apartment,10655213,antwerp,2050,Antwerpen,Flanders,210000,Frankrijlei 156/158,B,129,0,1,5,0,0,2,1969,Good,1,1,0,0,1,Installed,Gas,€210000
4273,house,house,10655200,halle,1500,Vlaams-Brabant,Flanders,990000,Minderbroedersstraat 8,B,137,0,1,0,3653,0,4,1994,Good,5,2,0,1,2,0,Fuel oil,€990000
4274,house,house,10655199,pepingen,1670,Vlaams-Brabant,Flanders,990000,Minderbroedersstraat 8,B,137,0,1,0,3653,0,4,1994,Good,5,2,0,1,2,0,Fuel oil,€990000
4276,house,house,10655196,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,535000,Avenue Vesale 29,G,353,0,1,25,229,34,3,1955,0,3,1,0,0,1,0,Gas,€535000
4277,apartment,apartment,10655195,westkapelle,8300,West-Vlaanderen,Flanders,360000,Lippenslaan 116,B,101,0,1,0,0,0,0,2008,Good,2,1,0,0,0,0,Gas,€360000
4279,apartment,penthouse,10655193,knokke,8300,West-Vlaanderen,Flanders,1195000,Lippenslaan 116,B,145,0,1,0,0,0,2,0,Good,4,3,0,0,4,0,Gas,€1195000
4282,house,exceptional-property,10655185,ottignies,1340,Brabant wallon,Wallonia,1950000,Avenue Capouillet 58 A,D,334,0,1,0,5128,0,4,0,Good,6,3,0,1,0,Installed,Fuel oil,€1950000
4284,house,house,10655182,dottignies,7711,Hainaut,Wallonia,769258,Deerlijkseweg 218,A+,27,0,0,0,809,0,4,0,0,4,1,1,0,0,0,0,€769258
4286,apartment,apartment,10655179,hamont-achel,3930,Limburg,Flanders,289000,Kapittelhof 22,C,211,0,1,0,0,0,3,2009,Good,2,1,0,0,0,0,Gas,€289000
4287,house,house,10655178,moerkerke,8340,West-Vlaanderen,Flanders,869000,Moerkerkse Steenweg 55 bus 1,F,994,0,0,0,24030,0,4,0,To restore,3,1,0,1,0,0,Fuel oil,€869000
4289,house,house,10655174,binche,7134,Hainaut,Wallonia,136500,Boulevard Saincetelette 39,F,470,0,1,15,160,20,3,0,To be done up,2,1,0,0,1,Semi equipped,Gas,€136500
4291,house,house,10655167,dottignies,7711,Hainaut,Wallonia,696938,Deerlijkseweg 218,A+,27,0,0,0,809,0,4,0,0,4,1,1,0,0,0,0,€696938
4292,apartment,apartment,10655164,anderlecht,1070,Brussels Hoofdstedelijk Gewest,Brussels,220000,"Avenue Van Overbeke 55, B 7",E,270,0,1,10,0,30,4,1960,0,3,1,0,0,1,Installed,Gas,€220000
4294,house,house,10655159,maurage,7110,Hainaut,Wallonia,120000,Grand Place 33,G,582,0,0,0,110,0,3,0,Good,1,0,1,0,1,Installed,Gas,€120000
4295,house,house,10655158,pittem,8740,West-Vlaanderen,Flanders,475000,Bruggestraat 13,B,180,0,1,0,1038,0,4,1988,Good,3,1,0,0,0,0,Gas,€475000
4297,apartment,apartment,10655145,anderlecht,1070,Brussels Hoofdstedelijk Gewest,Brussels,265000,Place des chasseurs Ardennais 24-26,C,117,0,1,8,0,40,3,1964,Just renovated,2,0,1,0,1,Installed,Gas,€265000
4298,apartment,apartment,10655143,tenneville,6970,Luxembourg,Wallonia,225000,Chaussée de Liège 76,A,85,0,1,6,0,0,2,2023,0,2,1,0,0,0,0,Gas,€225000
4299,house,country-cottage,10655138,arquennes,7181,Hainaut,Wallonia,650000,Rue de Saintes 11/3,F,474,0,1,0,10237,29,4,0,To renovate,5,2,0,0,0,0,Fuel oil,€650000
4300,apartment,apartment,10655137,bruxelles,1000,Brussels Hoofdstedelijk Gewest,Brussels,660000,Rue du Vieux-Mayeur 51,B,86,0,0,0,0,30,0,0,As new,2,0,2,0,2,Hyper equipped,Gas,€660000
4301,apartment,apartment,10655135,tenneville,6970,Luxembourg,Wallonia,225000,Chaussée de Liège 76,A,85,0,1,6,0,0,3,2023,0,2,1,0,0,0,0,Gas,€225000
4302,house,villa,10655134,evergem,9940,Oost-Vlaanderen,Flanders,550000,Damstraat 131 bus1,E,405,0,1,0,1269,0,4,1965,0,4,1,0,0,0,Installed,Gas,€550000
4303,apartment,apartment,10655133,mariakerke,9030,Oost-Vlaanderen,Flanders,235000,Damstraat 131 bus1,B,131,0,1,1,0,0,2,1967,0,2,1,0,0,0,Semi equipped,Gas,€235.000
4304,apartment,apartment-block,10655131,li%C3%A8ge,4020,Liï¿½ge,Wallonia,545000,Rue Charles Magnette 24/40,E,389,0,0,0,0,0,3,0,0,7,0,4,0,6,Not installed,0,€545000
4305,house,house,10655130,li%C3%A8ge,4020,Liï¿½ge,Wallonia,545000,Rue Charles Magnette 24/40,E,389,0,0,0,0,0,3,0,0,7,0,4,0,6,Not installed,0,€545000
4306,house,house,10334315,verviers,4800,Liï¿½ge,Wallonia,119000,"Place Hubert Delrez, 8/6",D,272,0,1,6,65,21,2,0,To renovate,5,1,1,1,2,Not installed,Gas,€119000
4307,house,house,10655122,dendermonde,9200,Oost-Vlaanderen,Flanders,180550,Kasteelstraat 177,F,728,0,0,0,0,0,3,0,To renovate,2,1,0,0,1,0,Gas,€180550
4308,apartment,apartment,10655120,gent,9000,Oost-Vlaanderen,Flanders,229000,Begijnhofdries 31,B,175,0,0,0,0,0,2,1992,0,1,1,0,0,1,0,0,€229000
4309,house,house,10655119,gentbrugge,9050,Oost-Vlaanderen,Flanders,339000,Begijnhofdries 31,D,353,0,0,0,200,0,2,0,0,3,1,0,0,1,0,0,€339000
4311,house,house,10655114,haacht,3150,Vlaams-Brabant,Flanders,479000,Onze-Lieve-Vrouwstraat 129B,E,483,0,0,0,1558,55,3,0,Good,4,1,0,0,2,0,0,€479000
4312,apartment,apartment,10655103,berchem-sainte-agathe,1082,Brussels Hoofdstedelijk Gewest,Brussels,279000,Place Dr. Schweitzer 18,E,275,0,1,10,0,35,0,1985,As new,2,1,0,0,1,0,Electric,€279000
4313,house,house,10655102,wuustwezel,2990,Antwerpen,Flanders,499000,Bredabaan 661,B,110,0,1,20,385,32,3,2016,Good,4,1,0,0,2,0,0,€499000
4314,house,mansion,10655100,izegem,8870,West-Vlaanderen,Flanders,640000,Noordlaan 51,C,240,0,0,0,201,0,0,0,As new,8,7,0,0,7,0,0,€640000
4315,house,house,10655098,roeselare,8800,West-Vlaanderen,Flanders,175000,Noordlaan 51,F,569,0,0,0,131,0,0,0,0,2,1,0,0,2,0,0,€175000
4316,house,house,10655097,nandrin,4550,Liï¿½ge,Wallonia,399000,Route du Condroz 151,D,332,0,1,75,1823,35,4,1990,Good,3,1,0,0,0,Installed,0,€399000
4317,apartment,apartment-block,10655095,jemeppe,4101,Liï¿½ge,Wallonia,199000,Route du Condroz 151,G,529,0,1,15,155,56,0,1915,To renovate,4,0,4,0,3,Semi equipped,Fuel oil,€199000
4318,house,house,10655094,jemeppe,4101,Liï¿½ge,Wallonia,199000,Route du Condroz 151,G,529,0,1,15,155,56,0,1915,To renovate,4,0,4,0,3,Semi equipped,Fuel oil,€199000
4319,house,house,10655093,fl%C3%89malle-haute,4400,Liï¿½ge,Wallonia,269000,Route du Condroz 151,E,365,0,1,20,335,39,3,1959,Good,3,1,0,0,1,Semi equipped,Gas,€269000
4321,house,house,10655091,lokeren,9160,Oost-Vlaanderen,Flanders,210000,Plezantstraat 71,F,646,0,1,16,415,0,3,1965,To renovate,3,1,0,0,1,0,Gas,€210000
4322,house,house,10361144,sint-amands,2890,Antwerpen,Flanders,279000,Dorpshart 10,E,436,0,1,87,202,41,3,1950,Good,2,1,0,0,2,Installed,Gas,€279000
4323,apartment,apartment,10655084,willebroek,2830,Antwerpen,Flanders,62647,Valkebeekstraat 24,D,313,0,1,0,0,0,0,1961,Good,2,1,0,0,1,Semi equipped,Gas,€62647
4324,apartment,apartment,10655083,willebroek,2830,Antwerpen,Flanders,56714,Valkebeekstraat 24,D,351,0,1,0,0,0,0,1961,Good,1,1,0,0,1,Semi equipped,Gas,€56714
4325,apartment,apartment,10655082,willebroek,2830,Antwerpen,Flanders,57180,Valkebeekstraat 24,D,315,0,1,0,0,0,0,1961,Good,2,1,0,0,1,Semi equipped,Gas,€57180-
4326,apartment,apartment,10655081,willebroek,2830,Antwerpen,Flanders,56631,Valkebeekstraat 24,C,296,0,1,0,0,0,0,1961,Good,1,1,0,0,1,Semi equipped,Gas,€56631.
4327,apartment,apartment,10655080,willebroek,2830,Antwerpen,Flanders,56665,Valkebeekstraat 24,E,462,0,1,0,0,0,0,1961,Good,2,1,0,0,1,Semi equipped,Gas,€56665.
4328,house,house,10655076,mol,2400,Antwerpen,Flanders,419000,Rondplein 14/2,C,212,0,0,0,733,0,4,1960,To be done up,4,1,0,0,0,0,0,€419000
4329,house,house,10655075,tenneville,6972,Luxembourg,Wallonia,295000,Route de Marche 143,B,159,0,0,0,1303,0,3,1850,Just renovated,2,2,0,1,0,0,Gas,€295000
4330,apartment,apartment-block,10655069,beersel,1650,Vlaams-Brabant,Flanders,395000,Alsembergsesteenweg 660,D,347,0,1,0,240,0,3,1965,To be done up,2,2,0,0,2,Semi equipped,Gas,€395000
4331,house,mixed-use-building,10655068,berchem,2600,Antwerpen,Flanders,725000,Hazeschransstraat 41,C,245,0,1,30,339,0,2,1930,0,4,1,0,0,0,Installed,0,€725000
4332,house,house,10655067,berchem,2600,Antwerpen,Flanders,725000,Hazeschransstraat 41,C,245,0,1,30,339,0,2,1930,0,4,1,0,0,0,Installed,0,€725000
4333,house,villa,10655066,edegem,2650,Antwerpen,Flanders,925000,Hazeschransstraat 41,C,210,0,1,0,1808,0,4,1950,0,4,1,0,0,2,0,Gas,€925000
4334,apartment,apartment,10655062,forest,1190,Brussels Hoofdstedelijk Gewest,Brussels,540000,Sint-Gisleinsstraat 53,G,434,0,1,0,0,0,0,0,To renovate,2,1,0,0,1,0,0,€540000
4335,apartment,duplex,10655058,saint-gilles,1060,Brussels Hoofdstedelijk Gewest,Brussels,540000,Avenue Clémentine 31/4,D,193,0,1,12,0,40,2,1926,Good,4,1,1,0,2,Hyper equipped,0,€540000
4336,house,chalet,10655057,recht,4780,Liï¿½ge,Wallonia,389000,Les Grands Champs 36,E,368,0,1,2,921,37,4,1996,Good,3,1,1,0,2,Installed,Fuel oil,€389000
4337,apartment,apartment,10655056,wenduine,8420,West-Vlaanderen,Flanders,179000,Stationstraat 16,D,304,0,0,0,0,0,0,0,Good,1,0,0,0,1,Installed,Gas,€179000
4338,apartment,apartment,10655050,athus,6791,Luxembourg,Wallonia,295000,Route d'Arlon 188a,B,87,1,1,5,0,0,2,2013,As new,2,1,0,0,1,USA hyper equipped,Gas,€295000
4339,house,house,10655049,messancy,6780,Luxembourg,Wallonia,549000,Route d'Arlon 188a,D,261,0,1,50,924,17,4,1990,As new,4,1,0,1,2,0,Fuel oil,€549000
4340,apartment,apartment,10366762,niel,2845,Antwerpen,Flanders,175000,Langestraat 71,E,428,0,1,8,0,24,3,0,To be done up,2,1,0,0,1,Semi equipped,0,€175000
4341,house,house,10655048,mechelen,2800,Antwerpen,Flanders,279000,Mechelbaan 509,C,296,0,0,0,95,0,2,0,Just renovated,3,1,0,0,1,Installed,Gas,€279000
4342,house,house,10655046,rixensart,1330,Brabant wallon,Wallonia,845000,Grand' Route 3,D,338,0,1,60,2179,0,4,1968,Good,4,1,1,1,2,Installed,Gas,€845000
4343,apartment,duplex,10655045,orp-le-grand,1350,Brabant wallon,Wallonia,450000,Route de Landen 82,D,271,0,0,0,0,50,0,0,As new,2,0,1,0,2,0,Gas,€450000
4344,apartment,duplex,10655044,sint-niklaas,9100,Oost-Vlaanderen,Flanders,399000,Stationsstraat 97,B,141,0,1,25,0,0,2,0,0,3,1,0,0,1,Hyper equipped,Gas,€399000
4345,house,house,10655043,willebroek,2830,Antwerpen,Flanders,280000,Dr. Persoonslaan 15 b,B,116,0,1,0,255,0,2,0,0,3,1,0,0,1,Installed,Gas,€280000
4346,house,villa,10655042,rongy,7623,Hainaut,Wallonia,320000,Impasse Saint-Paul 16,G,520,0,0,0,1450,45,4,1965,Good,3,1,0,0,0,Installed,Fuel oil,€320000
4347,apartment,apartment,10655035,leuven,3010,Vlaams-Brabant,Flanders,435000,Sint-Lambertusstraat 32 bus 0001,B,137,0,1,10,0,0,2,2004,Good,2,1,0,0,2,Installed,Gas,€435000
4348,house,mansion,10655034,colfontaine,7340,Hainaut,Wallonia,189000,Boulevard Saincetelette 39,F,447,0,1,24,662,40,2,0,Good,3,1,0,0,0,Installed,Fuel oil,€189000
4349,house,house,10655031,kapellen,2950,Antwerpen,Flanders,530000,Bredabaan 167A,D,368,0,0,0,1230,0,0,2005,0,2,0,0,0,0,0,Gas,€530000
4350,house,house,10655030,grimbergen,1850,Vlaams-Brabant,Flanders,624000,Brusselsesteenweg 65,D,325,0,0,0,1330,48,3,1934,Good,3,1,0,0,2,Installed,Gas,€624000
4351,house,house,10655022,huy,4500,Liï¿½ge,Wallonia,105000,Avenuedes Ardennes 7d,B,159,0,0,0,35,0,2,0,Good,1,1,0,0,1,Semi equipped,Gas,€105000
4352,house,house,10655019,zwijndrecht%20%28zwijndrecht%29,2070,Antwerpen,Flanders,225000,Gentse Baan 45A,D,323,0,1,18,70,0,2,1899,Good,2,1,0,0,0,Installed,Gas,€225000
4353,house,house,10655018,herseaux,7712,Hainaut,Wallonia,179000,Avenue de Maire 202,D,285,0,0,0,0,35,2,0,0,3,1,0,0,2,0,Gas,€179000
4354,apartment,apartment,10655017,mouscron,7700,Hainaut,Wallonia,195000,Avenue de Maire 202,C,175,0,0,0,0,0,2,2009,Just renovated,1,1,1,0,0,0,Gas,€195000
4355,apartment,apartment,10576608,sint-truiden,3800,Limburg,Flanders,245000,Begijnhof 58,C,291,0,1,25,0,0,0,1982,To be done up,2,1,0,0,1,0,Gas,€245000
4356,apartment,apartment,10576607,sint-truiden,3800,Limburg,Flanders,245000,Begijnhof 58,C,291,0,1,26,0,0,2,1982,To be done up,2,1,0,0,2,Installed,Gas,€245000
4357,apartment,apartment,10655014,celles,7760,Hainaut,Wallonia,305000,Abeelstraat 9A,B,148,0,1,8,0,38,2,0,Just renovated,3,1,0,0,2,Installed,Gas,€305000
4358,house,house,10655013,celles,7760,Hainaut,Wallonia,305000,Abeelstraat 9A,B,148,0,1,8,0,38,2,0,Just renovated,3,1,0,0,2,Installed,Gas,€305000
4359,apartment,apartment,10655011,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,315000,Avenue Louise 231,F,299,0,1,14,0,39,3,1978,Good,2,1,0,0,1,Installed,Gas,€315000
4361,apartment,penthouse,10655004,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,1340000,Bld. Brand Whitlock 108,B,88,0,1,0,0,70,2,2023,As new,3,2,0,1,3,USA hyper equipped,Gas,€1340000
4362,house,house,10606514,moignel%C3%89e,5060,Namur,Wallonia,175000,Av. Delleur 17,E,401,0,0,0,200,32,3,0,Good,3,1,0,0,1,Semi equipped,Fuel oil,€175000
4368,apartment,flat-studio,10496949,middelkerke,8430,West-Vlaanderen,Flanders,159000,Paul de Smet de Naeyerstraat 4,C,245,1,0,0,0,0,0,0,Just renovated,0,1,0,0,1,Installed,Electric,€159000
4369,house,house,10463129,houthulst,8650,West-Vlaanderen,Flanders,165000,Boterstraat 39,F,1059,0,0,0,1035,0,4,1921,To renovate,3,1,0,0,2,Semi equipped,Wood,€165000
4370,house,house,10654985,gent,9000,Oost-Vlaanderen,Flanders,289000,Zwijnaardsesteenweg 23,C,267,0,0,0,59,25,2,0,Just renovated,3,1,0,0,2,Installed,Gas,€289000
4372,apartment,apartment-block,10649654,monceau-sur-sambre,6031,Hainaut,Wallonia,179900,Rue de gilly 81,E,370,0,0,0,0,0,2,0,Good,2,0,1,0,1,Installed,Gas,€179900
4373,apartment,apartment,10654983,molenbeek-saint-jean,1080,Brussels Hoofdstedelijk Gewest,Brussels,190000,Avenue louise 523,G,845,0,0,0,0,28,0,0,0,2,1,0,0,1,0,0,€190000
4374,apartment,apartment,10654977,nivelles,1400,Brabant wallon,Wallonia,180000,Rue de Namur 93,C,230,0,1,7,0,26,2,1976,To be done up,2,0,1,0,1,Semi equipped,Gas,€180000
4375,apartment,apartment,10583865,eupen,4700,Liï¿½ge,Wallonia,188000,Poteauerstrasse 90,D,313,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,€188000
4376,house,house,10654962,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,1625000,Ch. de Waterloo 1354,E,247,0,1,0,620,0,3,1970,Good,7,4,4,0,5,Hyper equipped,0,€1625000
4377,house,house,10654956,rhode-saint-gen%C3%88se,1640,Vlaams-Brabant,Flanders,949000,Chaussée de Bruxelles 168,C,256,0,0,0,1018,45,4,1970,As new,6,2,0,0,2,Installed,Gas,€949000
4379,house,house,10654942,grivegn%C3%A9e,4030,Liï¿½ge,Wallonia,350000,rue Saint-Gilles 590,C,176,0,1,0,1015,28,3,0,0,3,0,1,0,2,Installed,Gas,€350000
4381,house,house,10654931,wilrijk,2610,Antwerpen,Flanders,280000,Prins Boudewijnlaaan 318,C,290,0,1,10,152,0,2,0,Good,2,1,0,0,2,Installed,Gas,€280000
4382,apartment,apartment,10654930,westende-bad,8434,West-Vlaanderen,Flanders,315000,Zeedijk 127-128,C,247,1,1,0,0,0,2,1999,Good,2,1,0,0,0,Installed,Electric,€315000
4383,apartment,apartment,10654929,middelkerke,8430,West-Vlaanderen,Flanders,420000,Zeedijk 127-128,D,378,1,1,0,0,0,2,2002,Good,2,1,0,0,1,Semi equipped,Electric,€420000
4384,house,house,10654927,mont-sur-marchienne,6032,Hainaut,Wallonia,428000,Avenue Paul pastur 380,G,666,0,1,25,3200,58,4,0,0,5,2,0,0,3,Installed,Gas,€428000
4385,house,house,10654926,walhain-saint-paul,1457,Brabant wallon,Wallonia,250000,Chaussée de Louvain 244,G,875,0,0,0,1510,24,3,0,To renovate,2,0,1,0,1,Not installed,0,€250000
4386,house,house,10654925,grez-doiceau,1390,Brabant wallon,Wallonia,549000,Chaussée de Louvain 244,A+,35,0,0,0,2120,28,4,2020,0,3,1,0,1,3,Installed,0,€549000
4387,house,house,10654921,aartrijke,8211,West-Vlaanderen,Flanders,410000,Groenestraat 2,B,152,0,1,0,595,0,4,0,Good,3,0,0,0,2,Installed,Gas,€410000
4390,house,house,10654916,beveren-waas,9120,Oost-Vlaanderen,Flanders,545000,Prinses Josephine Charlottelaan 72,C,287,0,1,0,188,0,2,0,Good,3,1,1,0,3,Installed,Gas,€545000
4391,apartment,apartment,10654915,deurne,2100,Antwerpen,Flanders,169000,Bischoppenhoflaan 284,B,116,0,0,0,0,30,2,1965,To be done up,2,1,0,0,1,Semi equipped,Gas,€169000
4393,apartment,apartment,10654905,kortrijk,8500,West-Vlaanderen,Flanders,230000,Gasthuisstraat 1,B,152,0,0,0,0,0,2,2012,0,2,1,0,0,1,0,0,€230000
4394,house,house,10607781,kuurne,8520,West-Vlaanderen,Flanders,169000,Gasthuisstraat 1,C,246,0,0,0,387,0,2,1929,Good,3,1,0,0,1,0,0,€169000
4395,house,house,10654903,temse,9140,Oost-Vlaanderen,Flanders,239900,Casinostraat 3,B,178,0,1,12,90,26,2,1937,Good,2,1,0,0,2,Installed,0,€239900
4396,house,mansion,10654902,maldegem,9990,Oost-Vlaanderen,Flanders,499000,Marktstraat 55,E,421,0,0,0,276,0,3,1949,Good,3,1,0,0,2,Installed,0,€499000
4397,house,house,10654900,herselt,2230,Antwerpen,Flanders,295000,Schrieksebaan 69,F,1003,0,0,0,4000,0,4,1930,To renovate,3,1,0,0,1,Installed,Fuel oil,€295000
4398,apartment,flat-studio,10654899,knokke,8300,West-Vlaanderen,Flanders,309000,Komvest 1,B,150,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,€309000
4402,apartment,apartment,10654888,knokke-heist,8300,West-Vlaanderen,Flanders,195000,Dumortierlaan 89,B,130,0,0,0,0,0,2,1964,0,1,1,0,0,1,0,0,€195000
