,property_type,property_subtype,immo_code,location,postcode,province,region,price,address,energy_class,primary_energy_consumption,furnished,terrace,terrace_surface,plot_surface,living_room_surface,frontages,construction_year,building_condition,bedrooms,bathrooms,shower_rooms,office,toilets,kitchen_type,heating_type,price_orig
1929,house,house,10662351,dilbeek,1700,Vlaams-Brabant,Flanders,289000,avenue des Combattants 186A,C,292,0,0,0,204,33,2,1956,0,3,1,0,0,2,Installed,Gas,€289000
1930,apartment,flat-studio,10662327,westende,8434,West-Vlaanderen,Flanders,85000,Leopoldlaan 228,C,264,0,0,0,0,0,0,1968,Good,0,1,0,0,1,0,0,€85000
1931,apartment,apartment,10662326,gilly,6060,Hainaut,Wallonia,119000,Chaussée de Charleroi 226,C,201,0,0,0,0,27,0,0,To be done up,2,0,1,0,1,Semi equipped,Gas,€119000
1932,house,house,10662320,westerlo,2260,Antwerpen,Flanders,285000,Markt 20,B,176,0,1,0,0,0,2,1994,Good,3,1,0,0,2,Semi equipped,Gas,€285000
1933,house,house,10662317,avelgem,8583,West-Vlaanderen,Flanders,230000,Hulstedorp 18,F,645,0,1,0,710,0,3,0,Good,4,0,0,0,2,Installed,Gas,€230000
1938,house,house,10662311,asse,1730,Vlaams-Brabant,Flanders,330000,Kalkovenlaan 77,D,355,0,1,0,425,0,3,1941,Good,2,0,0,0,0,0,Gas,€330000
1940,house,house,10662273,oostende,8400,West-Vlaanderen,Flanders,239000,Groentemarkt 1,D,355,0,0,0,179,0,4,1955,To renovate,4,1,0,0,2,0,Gas,€239000
1942,house,house,10662266,wevelgem,8560,West-Vlaanderen,Flanders,165000,Vanackerestraat 2,C,218,0,1,0,300,0,2,0,Good,2,1,0,0,1,0,Gas,€165000
1943,house,house,10662263,turnhout,2300,Antwerpen,Flanders,425000,PARKLAAN 46,A,95,0,0,0,315,0,2,2015,Good,3,1,0,1,2,0,Gas,€425000
1944,apartment,apartment,10662260,sint-niklaas,9100,Oost-Vlaanderen,Flanders,239000,Mercatorstraat 64,B,150,0,0,0,0,20,2,0,Good,1,1,0,0,2,0,0,€239000
1946,house,house,10415906,gent,9050,Oost-Vlaanderen,Flanders,278000,Désiré Van Monckhovenstraat 2,F,759,0,0,0,65,21,4,1930,To renovate,4,1,0,0,0,0,0,€278000
1947,house,villa,10662257,nijlen,2560,Antwerpen,Flanders,474000,Turnhoutsebaan 328,C,268,0,1,30,565,40,4,0,Good,4,2,0,1,2,0,Gas,€474000
1951,apartment,apartment,10662251,oostende,8400,West-Vlaanderen,Flanders,320000,Leopold I plein 9,B,125,0,1,8,0,40,0,1967,Good,3,1,0,0,1,0,Fuel oil,€320000
1952,apartment,apartment,10662246,antwerp,2018,Antwerpen,Flanders,249900,Korte Nieuwstraat 16,B,168,0,1,0,0,0,2,0,Good,1,1,0,0,1,0,Gas,€249900
1953,apartment,apartment,10662245,antwerpen%20berchem,2600,Antwerpen,Flanders,249900,Korte Nieuwstraat 16,B,168,0,1,0,0,0,2,0,Good,1,1,0,0,1,0,Gas,€249900
1954,apartment,apartment,10662244,antwerpen%20wilrijk,2610,Antwerpen,Flanders,195000,Korte Nieuwstraat 16,C,276,0,1,0,0,0,2,0,Good,1,1,0,0,1,Installed,Gas,€195000
1955,apartment,duplex,10662239,etterbeek,1040,Brussels Hoofdstedelijk Gewest,Brussels,520000,Avenue Louise 251 (6ième étage),F,307,0,1,25,0,51,4,1995,Good,2,1,1,1,2,USA semi equipped,Gas,€520000
1956,house,house,10662238,etterbeek,1040,Brussels Hoofdstedelijk Gewest,Brussels,520000,Avenue Louise 251 (6ième étage),F,307,0,1,50,123,51,4,1995,Good,3,1,1,1,2,USA semi equipped,Gas,€520000
1957,apartment,ground-floor,10662235,denderleeuw,9470,Oost-Vlaanderen,Flanders,229000,Steenweg 299,D,337,0,1,0,0,25,0,1971,Good,2,1,0,1,2,Installed,Electric,€229000
1958,house,country-cottage,10662231,drongen,9031,Oost-Vlaanderen,Flanders,470000,Damstraat 131 bus1,F,594,0,1,0,903,0,4,1945,To renovate,3,1,0,0,2,Semi equipped,Gas,€470000
1959,house,villa,10662230,oosterzele,9860,Oost-Vlaanderen,Flanders,649000,Damstraat 131 bus1,C,240,0,1,0,0,0,4,1998,0,3,2,0,0,0,Installed,Gas,€649000
1960,apartment,apartment,10662229,deinze,9800,Oost-Vlaanderen,Flanders,183380,Damstraat 131 bus1,A,94,0,1,0,0,0,2,1968,To be done up,2,1,0,0,0,Installed,Gas,€183380
1961,house,villa,10662216,couvin,5660,Namur,Wallonia,270000,Rue Grande 70,E,384,0,1,0,1400,28,0,0,Just renovated,4,0,1,0,1,0,Fuel oil,€270000
1962,apartment,apartment,10662213,merksem%20%28antwerpen%29,2170,Antwerpen,Flanders,160000,Lambrechtshoekenlaan 169,C,270,0,0,0,0,0,2,1975,To be done up,2,1,0,0,0,Installed,Gas,€160000
1963,house,house,10662211,hoeilaart,1560,Vlaams-Brabant,Flanders,498000,GEMEENTEPLEIN 7,F,506,0,1,20,745,50,4,1970,To be done up,2,1,0,0,2,Semi equipped,Gas,€498000
1964,house,house,10662207,seraing,4100,Liï¿½ge,Wallonia,165000,Route du Condroz 151,G,619,0,1,0,410,29,4,0,To be done up,3,1,0,0,2,Semi equipped,Gas,€165000
1965,house,mixed-use-building,10662203,st-michiels,8200,West-Vlaanderen,Flanders,849000,Generaal Lemanlaan 202,D,320,0,1,30,961,47,3,1969,Good,5,3,0,1,3,Installed,Gas,€849000
1966,house,house,10662200,embourg,4053,Liï¿½ge,Wallonia,279000,Avenue des Ardennes 1/02,F,467,0,1,15,346,44,3,1966,Good,3,1,0,0,2,Installed,Fuel oil,€279000
1967,apartment,apartment,10662198,hoboken,2660,Antwerpen,Flanders,175000,Prins Boudewijnlaan 122,B,150,0,1,12,0,28,0,1968,As new,2,1,0,0,1,Installed,Gas,€175000
1968,house,house,10662197,dilbeek,1700,Vlaams-Brabant,Flanders,449000,"Ninoofsesteenweg, 255",E,475,0,0,0,448,31,4,1959,Good,4,1,0,1,0,0,Gas,€449000
1969,house,house,10662192,beveren,9120,Oost-Vlaanderen,Flanders,330000,Dendermondsesteenweg 149/4,B,159,0,0,0,248,25,2,0,As new,3,1,0,0,2,Hyper equipped,0,€330000
1970,house,house,10662191,erpe-mere,9420,Oost-Vlaanderen,Flanders,298000,Hoogstraat 20,D,362,0,1,0,600,24,4,1900,To be done up,3,1,0,0,1,USA installed,Fuel oil,€298000
1971,apartment,apartment,10567948,overijse,3090,Vlaams-Brabant,Flanders,487000,Brusselsesteenweg 604,D,306,0,1,9,0,53,2,1920,As new,2,1,0,1,1,Hyper equipped,Gas,€487000
1972,house,villa,10662189,evergem,9940,Oost-Vlaanderen,Flanders,820000,Boelare 67,A,54,0,0,0,552,0,4,2010,Good,4,1,0,0,0,Installed,Gas,€820000
1973,house,house,10566229,wolvertem,1861,Vlaams-Brabant,Flanders,395000,Kerkhofstraat 76,D,349,0,0,0,290,30,3,1956,Good,4,1,0,1,0,0,Gas,€395000
1974,house,mansion,10500975,les%20bons%20villers,6210,Hainaut,Wallonia,390000,"place d'Omalius, 1",E,377,0,1,0,810,43,4,1899,To renovate,5,1,2,0,2,Semi equipped,Gas,€390000
1975,house,villa,10662177,rixensart,1330,Brabant wallon,Wallonia,550000,"Avenue Albert Ier, 304",E,370,0,0,0,1133,43,4,1980,Good,3,1,1,1,0,Not installed,Gas,€550000
1994,house,house,10584531,grobbendonk,2280,Antwerpen,Flanders,324500,Langestraat 71,C,212,0,1,30,368,0,3,1930,Good,3,1,1,0,1,Installed,Gas,€324500
1996,apartment,apartment,10662147,heist%20%28knokke-heist%29,8301,West-Vlaanderen,Flanders,330000,Zeelaan 276,B,197,0,1,0,0,0,2,1987,To be done up,2,1,0,0,0,0,Electric,€330000
