,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
1106,apartment,ground-floor,10664630,sint-agatha-berchem,1082,Brussels Hoofdstedelijk Gewest,Brussels,249000,av. Charles-quint 124,F,324.0,0,1,30,0,0,2,2010,Good,2,1,0,1,1,Installed,Electric,€249000
1107,apartment,ground-floor,10664629,molenbeek-saint-jean,1080,Brussels Hoofdstedelijk Gewest,Brussels,249000,av. Charles-quint 124,F,324.0,0,1,30,0,0,2,2010,Good,2,1,0,1,1,Installed,Electric,€249000
1110,house,house,10664602,gent,9000,Oost-Vlaanderen,Flanders,235000,Sluizeken 16,F,579.0,0,0,0,902,20,2,0,Good,1,1,0,0,1,Installed,Electric,€235000
1111,apartment,apartment,10664601,zelzate,9060,Oost-Vlaanderen,Flanders,324000,Franz Wittoucklaan 31,C,222.0,0,1,0,0,0,2,1976,To be done up,3,1,1,0,2,Semi equipped,Fuel oil,€324000
1113,apartment,apartment,10664593,anderlecht,1070,Brussels Hoofdstedelijk Gewest,Brussels,149000,Rue de Neerpede 370,E,274.0,0,1,10,0,19,4,0,Just renovated,1,0,0,0,1,Semi equipped,Gas,€149000
1114,house,house,10664592,sint-katherina-lombeek,1742,Vlaams-Brabant,Flanders,319000,Molenstraat 1,D,397.0,0,1,63,420,25,3,1930,As new,3,1,0,0,2,Installed,Fuel oil,€319000
1115,house,exceptional-property,10664591,sivry-rance,6470,Hainaut,Wallonia,250000,427 A chaussée de Thuin,F,440.0,0,1,0,10490,0,4,0,To renovate,6,0,0,0,0,0,0,€250000
1116,apartment,apartment-block,10664590,bruxelles,1000,Brussels Hoofdstedelijk Gewest,Brussels,690000,Rue de Tervaete 35,F,288.0,0,0,0,90,0,0,1912,Good,6,0,0,0,0,0,0,€690000
1117,house,house,10664582,langdorp,3201,Vlaams-Brabant,Flanders,548000,Theofiel De Biestraat 11,C,213.0,0,0,0,5570,0,4,1938,Just renovated,4,2,0,0,3,Installed,Gas,€548000
1118,house,house,10664581,deinze,9800,Oost-Vlaanderen,Flanders,395000,Tieltsesteenweg 24,A,83.0,0,1,0,410,0,3,2020,As new,3,1,1,0,2,Installed,Gas,€395000
1119,house,house,10664580,brugge,8000,West-Vlaanderen,Flanders,419000,Tategemstraat 30,B,122.0,0,1,70,0,37,3,0,Good,3,1,0,1,2,Hyper equipped,Gas,€419000
1120,house,house,10664574,mouscron,7700,Hainaut,Wallonia,429000,Rue de Courtrai 28,F,467.0,0,0,0,650,38,4,1960,0,3,1,0,0,2,Installed,Fuel oil,€429000
1122,house,house,10664567,assebroek,8310,West-Vlaanderen,Flanders,275000,Generaal Lemanlaan 202,E,401.0,0,1,25,257,37,2,1933,To be done up,3,1,0,1,2,Installed,Gas,€275000
1123,house,house,10639385,auderghem,1160,Brussels Hoofdstedelijk Gewest,Brussels,740000,Rue d'Alost 7,G,366.0,0,1,0,151,25,2,1931,Just renovated,4,3,0,1,4,Installed,Electric,€740000
