,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bedrooms,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price_orig
6713,apartment,duplex,10648651,antwerp,2000,Antwerpen,Flanders,389000,Leopoldstraat 77,B,190.0,0,0,0,0,21,2,0,Just renovated,3,2,0,0,2,Hyper equipped,Gas,€389000
6714,apartment,apartment,10648650,antwerp,2000,Antwerpen,Flanders,249000,Leopoldstraat 77,B,163.0,0,0,0,0,25,2,0,Just renovated,1,1,0,0,1,Hyper equipped,Gas,€249000
6715,house,house,10648649,kortemark,8610,West-Vlaanderen,Flanders,255000,Den Triangel 2,F,872.0,0,0,0,1000,32,4,1979,To renovate,4,1,0,0,0,0,0,€255000
6716,apartment,apartment,10648648,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,425000,Chaussée de Waterloo 1382,C,126.0,0,1,12,0,0,2,2024,As new,1,1,1,0,1,USA hyper equipped,Gas,€425000
6717,apartment,apartment,10648647,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,430000,Chaussée de Waterloo 1382,A,45.0,0,1,11,0,31,2,2024,As new,2,1,1,0,2,USA hyper equipped,0,€430000
6718,apartment,apartment,10648643,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,1839000,Avenue Baron Albert d'Huart 130,B,63.0,0,1,76,0,60,2,2015,As new,3,2,0,0,3,Hyper equipped,Gas,€1839000
6719,apartment,penthouse,10648642,evere,1140,Brussels Hoofdstedelijk Gewest,Brussels,530000,Avenue Baron Albert d'Huart 130,B,46.0,0,1,53,0,30,2,2022,As new,2,2,1,0,2,USA hyper equipped,0,€530000
6720,apartment,penthouse,10648641,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,1360000,Avenue Baron Albert d'Huart 130,B,75.0,0,1,37,0,60,0,2020,As new,3,3,2,0,3,USA hyper equipped,0,€1360000
6722,house,house,10648639,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,795000,"Chaussée de Waterloo, 125",D,160.0,0,1,18,301,22,2,2002,As new,5,2,0,0,3,USA hyper equipped,0,€795000
6723,apartment,apartment,10648635,antwerpen%20borgerhout,2140,Antwerpen,Flanders,215000,"Grote steenweg, 511",C,263.0,0,1,13,0,0,2,1969,Good,3,1,0,0,1,USA semi equipped,0,€215000
6724,house,house,10648633,dendermonde,9200,Oost-Vlaanderen,Flanders,590000,Wichelsesteenweg 109,D,367.0,0,1,60,1820,73,4,1972,Good,5,2,0,1,2,Hyper equipped,Gas,€590000
6725,house,chalet,10648632,yvoir,5530,Namur,Wallonia,80000,Rue de Herve 659,D,277.0,0,1,0,200,0,4,0,Just renovated,1,1,1,0,1,Installed,0,€80000
6727,house,farmhouse,10648623,hamoir,4180,Liï¿½ge,Wallonia,299000,Avenue Louis Libert 1,E,392.0,0,1,0,609,47,3,1870,To renovate,3,1,0,1,0,Semi equipped,Fuel oil,€299000
6728,house,farmhouse,10648622,ferri%C3%A8res%20xhoris,4190,Liï¿½ge,Wallonia,299000,Avenue Louis Libert 1,E,392.0,0,1,0,609,47,3,1870,To renovate,3,1,0,1,0,Semi equipped,Fuel oil,€299000
6729,house,house,10648619,aywaille,4920,Liï¿½ge,Wallonia,149000,Avenue Louis Libert 1,F,426.0,0,0,0,51,21,3,0,Good,2,1,0,0,0,Not installed,Pellet,€149000
6730,apartment,apartment,10648614,antwerp,2000,Antwerpen,Flanders,520000,Sint-Katelijnevest 24,B,177.0,0,1,16,0,0,2,2008,As new,3,2,0,0,0,0,Gas,€520000
6731,apartment,apartment,10648613,antwerp,2000,Antwerpen,Flanders,1125000,Sint-Katelijnevest 24,B,147.0,0,1,8,0,0,3,0,0,3,2,0,0,0,0,0,€1125000
6732,apartment,apartment,10648612,antwerp,2000,Antwerpen,Flanders,579000,Sint-Katelijnevest 24,B,162.0,0,1,10,0,0,2,0,As new,2,2,0,0,0,0,0,€579000
6733,house,house,10648611,berchem,2600,Antwerpen,Flanders,784000,Sint-Katelijnevest 24,C,237.0,0,1,0,150,0,2,1903,0,4,2,0,0,0,0,0,€784000
6734,house,house,10648607,zemst,1981,Vlaams-Brabant,Flanders,325000,HAACHTSESTEENWEG 510 BUS 5,F,704.0,0,1,0,670,0,3,0,To renovate,3,1,0,0,1,0,Gas,€325000
6735,house,house,10648606,beerse,2340,Antwerpen,Flanders,479000,Graatakker 91,B,126.0,0,1,0,1682,51,4,1962,As new,4,1,0,1,2,Hyper equipped,Gas,€479000
6736,apartment,apartment,10648605,sint-niklaas,9100,Oost-Vlaanderen,Flanders,239000,"Dorpsstraat, 21",B,178.0,0,1,19,0,36,2,2007,Good,1,1,0,0,1,Installed,Gas,€239000
6737,house,house,10648604,moerbeke,9180,Oost-Vlaanderen,Flanders,375000,"Dorpsstraat, 21",C,225.0,0,0,0,330,0,2,0,Good,4,1,0,0,1,0,Gas,€375000
6738,apartment,apartment,10648603,sint-pauwels,9170,Oost-Vlaanderen,Flanders,269000,"Dorpsstraat, 21",B,141.0,0,1,12,0,40,0,2006,Good,2,1,0,0,1,Installed,Gas,€269000
6740,house,house,10648600,meerdonk,9170,Oost-Vlaanderen,Flanders,765000,"Dorpsstraat, 21",E,422.0,0,1,50,2732,44,4,2003,Good,4,2,0,0,2,Installed,Electric,€765000
6741,house,house,10648597,dilbeek,1702,Vlaams-Brabant,Flanders,349000,Astridlaan 1,F,535.0,0,1,0,244,24,3,1956,To be done up,2,1,0,1,1,Installed,Gas,€349000
6742,apartment,apartment,10648587,molenbeek-saint-jean,1080,Brussels Hoofdstedelijk Gewest,Brussels,169000,Avenue François Sebrechts 26,G,798.0,0,0,0,0,14,2,1940,To be done up,1,1,0,0,1,0,Gas,€169000
6743,apartment,apartment,10648586,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,149000,Avenue François Sebrechts 26,D,187.0,0,0,0,0,16,2,0,As new,1,1,0,0,1,0,Gas,€149000
6745,apartment,apartment,10648577,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,25000,Parvis Sainte-Alix 37,C,123.0,1,1,0,0,37,0,2002,Good,2,1,0,0,1,USA hyper equipped,Gas,€25.000
6746,house,house,10648575,sint-niklaas,9100,Oost-Vlaanderen,Flanders,769000,Parklaan 59 bus1,C,209.0,0,1,100,3601,0,4,1957,Good,4,2,0,0,2,Installed,Gas,€769000
6747,house,house,10648573,terhagen,2840,Antwerpen,Flanders,239000,Amsterdamstraat 15 bus202,C,284.0,0,0,0,79,0,2,0,Good,3,1,1,0,2,Installed,Gas,€239000
6748,apartment,apartment,10648572,destelbergen,9070,Oost-Vlaanderen,Flanders,275000,Dendermondesteenweg 501,B,159.0,0,0,0,0,0,2,1993,Just renovated,2,1,0,0,1,Semi equipped,Gas,€275000
6749,house,house,10648570,sint-amandsberg,9040,Oost-Vlaanderen,Flanders,235000,Alphonse Claeys-Bouüaertlaan 57/001,E,440.0,0,0,0,63,0,0,1899,To renovate,3,1,0,0,0,Not installed,Gas,€235000
6750,house,house,10648569,gent,9000,Oost-Vlaanderen,Flanders,235000,Alphonse Claeys-Bouüaertlaan 57/001,E,440.0,0,0,0,63,0,0,1899,To renovate,3,1,0,0,0,Not installed,Gas,€235000
6751,house,house,10648568,gent,9000,Oost-Vlaanderen,Flanders,225000,Alphonse Claeys-Bouüaertlaan 57/001,F,555.0,0,0,0,30,25,0,0,To be done up,1,0,0,0,0,Semi equipped,Gas,€225000
6752,house,house,10648567,heusden-zolder,3550,Limburg,Flanders,299950,Koeltorenlaan 11/3,F,675.0,0,1,0,837,35,0,1959,Good,3,2,0,0,2,0,Fuel oil,€299950
6753,house,house,10648566,sint-truiden,3800,Limburg,Flanders,219000,Clockemstraat 19,E,406.0,0,1,14,51,32,0,1899,0,2,1,0,1,1,Installed,Gas,€219000
6754,house,house,10648564,lokeren,9160,Oost-Vlaanderen,Flanders,160000,Vrijheidsplein 19,E,430.0,0,0,0,107,0,0,1935,0,2,1,0,0,0,0,0,€160000
6755,apartment,apartment,10648563,ixelles,1050,Brussels Hoofdstedelijk Gewest,Brussels,450000,Rue Abbé Cuypers 3,E,274.0,0,1,100,0,13,0,1930,Just renovated,3,1,0,0,0,USA hyper equipped,Gas,€450000
6756,house,house,10648547,lissewege,8380,West-Vlaanderen,Flanders,499000,Kustlaan 168a,D,384.0,0,1,0,969,0,4,1935,To be done up,4,1,1,0,1,Installed,Fuel oil,€499000
6757,house,house,10648546,knokke-heist,8300,West-Vlaanderen,Flanders,499000,Kustlaan 168a,D,384.0,0,1,0,969,0,4,1935,To be done up,4,1,1,0,1,Installed,Fuel oil,€499000
6759,house,house,10648545,knokke,8300,West-Vlaanderen,Flanders,845000,Lippenslaan 201,A,99.0,1,0,0,248,0,2,0,0,4,3,2,1,3,Hyper equipped,Gas,€845000
6760,house,house,10648542,wolvertem,1861,Vlaams-Brabant,Flanders,465000,"Uitbreidingstraat 84,",C,208.0,0,0,0,551,27,0,0,0,3,1,0,0,0,Installed,Gas,€465000
6761,house,house,10457516,lessines,7860,Hainaut,Wallonia,250000,Rue Saint-Jacques 1,D,331.0,0,1,0,0,0,0,0,To renovate,3,0,0,1,1,Installed,0,€250000
6762,house,villa,10648541,drongen,9031,Oost-Vlaanderen,Flanders,448000,Hansbekedorp 2A,D,330.0,0,0,0,920,0,0,1990,0,5,1,0,0,0,Installed,Fuel oil,€448000
6763,house,house,10648540,mol,2400,Antwerpen,Flanders,349000,Brasemstraat 8,F,836.0,0,0,0,684,0,0,1963,As new,3,1,0,0,0,0,Fuel oil,€349000
6765,house,villa,10648535,vlezenbeek,1602,Vlaams-Brabant,Flanders,429000,Bergensesteenweg 273,C,286.0,0,1,0,282,34,0,1973,As new,4,1,0,0,2,Installed,Fuel oil,€429000
6768,house,house,10648508,koksijde,8670,West-Vlaanderen,Flanders,735000,Leopold II Laan 226 GV01,C,244.0,0,1,0,550,0,0,0,As new,4,2,0,1,2,0,0,€735000
6769,apartment,apartment,10648507,koksijde,8670,West-Vlaanderen,Flanders,268500,Leopold II Laan 226 GV01,C,228.0,0,1,0,0,0,0,2003,As new,2,1,0,0,1,Installed,Gas,€268500
6771,house,house,10648504,aalter,9880,Oost-Vlaanderen,Flanders,230000,Wallenstraat 4a,E,458.0,0,1,0,172,0,0,1939,As new,2,1,0,1,0,Installed,Gas,€230000
6773,apartment,apartment,10648490,middelkerke,8430,West-Vlaanderen,Flanders,425000,Artanlaan 2,C,235.0,0,1,0,0,0,0,1968,As new,3,1,0,0,2,USA installed,Electric,€425000
6774,apartment,flat-studio,10648489,westende,8434,West-Vlaanderen,Flanders,134000,Artanlaan 2,B,171.0,1,0,0,0,0,0,2005,As new,1,1,0,0,1,0,0,€134000
6775,house,house,10648488,middelkerke,8430,West-Vlaanderen,Flanders,235000,Artanlaan 2,F,676.0,1,0,0,204,0,0,1989,As new,3,1,0,0,2,Installed,Electric,€235000
6776,house,villa,10648487,koksijde,8670,West-Vlaanderen,Flanders,490000,"Leopold II laan, 102",D,378.0,0,0,0,608,0,0,1977,0,3,1,0,0,2,0,0,€490000
6778,apartment,apartment,10648465,zottegem,9620,Oost-Vlaanderen,Flanders,155000,Dorp 32 A,A,79.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,€155000
6779,house,house,10397064,hamme,9220,Oost-Vlaanderen,Flanders,230000,Roodkruidsstraat 25,F,806.0,0,0,0,257,0,0,0,To be done up,3,0,0,0,0,Installed,0,€230000
6780,apartment,apartment,10648462,knokke-heist,8300,West-Vlaanderen,Flanders,995000,Korenbloemdreef 1/A,B,110.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,€995000
6781,house,house,10648454,blankenberge,8370,West-Vlaanderen,Flanders,665000,Kerkstraat 56,C,211.0,0,0,0,744,0,0,0,As new,4,1,0,0,2,Hyper equipped,Gas,€665000
6782,apartment,apartment,10648448,genk,3600,Limburg,Flanders,334000,"Het Dorlik, 16",A,87.0,0,0,0,0,0,0,2018,0,2,0,0,0,0,0,0,€334000
6783,house,house,10648447,houthalen-helchteren,3530,Limburg,Flanders,299900,"Het Dorlik, 16",D,385.0,0,0,0,480,0,0,0,0,4,1,0,0,0,Installed,Fuel oil,€299900
6784,house,house,10441802,veurne,8630,West-Vlaanderen,Flanders,149000,Houmarkt 2A,E,453.0,0,0,0,40,0,0,1952,To be done up,3,1,0,0,1,0,0,€149000
6785,apartment,apartment,10648445,diksmuide,8600,West-Vlaanderen,Flanders,270000,Jonkershovestraat101/H,B,165.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,€270000
6786,house,house,10648444,mechelen,2800,Antwerpen,Flanders,339500,Mechelbaan 445,B,121.0,0,1,0,55,0,0,0,0,2,1,0,0,1,Hyper equipped,Gas,€339500
6787,apartment,apartment,10648441,ronse,9600,Oost-Vlaanderen,Flanders,228400,Kotrijksesteenweg 345,A,34.0,0,1,0,0,0,0,2022,0,2,1,0,0,1,Installed,Gas,€228400
6788,house,house,10648439,wevelgem,8560,West-Vlaanderen,Flanders,210000,Sint-Janstraat 1,E,482.0,0,1,0,360,0,0,0,To be done up,3,1,0,0,0,0,Gas,€210000
6789,house,house,10648438,zele,9240,Oost-Vlaanderen,Flanders,610000,Kortrijksesteenweg 241A,F,527.0,1,1,0,930,0,0,1930,As new,6,2,0,1,3,Hyper equipped,Gas,€610000
6790,house,house,10648435,meise,1860,Vlaams-Brabant,Flanders,599000,De Kleetlaan 4,D,352.0,0,0,0,703,40,0,1961,Just renovated,4,2,0,0,2,Hyper equipped,Gas,€599000
6791,house,villa,10638707,kortrijk,8500,West-Vlaanderen,Flanders,1250000,"President Rooseveltplein, 9",F,501.0,0,0,0,1255,0,0,1963,As new,4,2,0,0,3,Hyper equipped,Gas,€1250000
6792,house,villa,10648427,petit-enghien,7850,Hainaut,Wallonia,825000,Rue du Moulin 25,C,183.0,0,1,0,2450,0,4,2000,As new,5,2,2,1,0,Hyper equipped,Fuel oil,€825000
6793,house,house,10648420,olen,2250,Antwerpen,Flanders,499000,Statiestraat 47,C,236.0,0,1,0,1722,52,0,0,Good,3,0,0,0,2,Installed,Gas,€499000
6794,house,house,10626260,kontich,2550,Antwerpen,Flanders,329500,"Antwerpsesteenweg, 88",E,473.0,0,0,0,510,50,2,1961,To renovate,3,1,0,0,1,Installed,Gas,€329500
6796,apartment,apartment,10648399,kortrijk,8500,West-Vlaanderen,Flanders,552000,Vlaskaai 6,A,61.0,0,1,18,0,0,0,2022,0,2,2,0,0,2,Installed,Gas,€552000
6797,apartment,ground-floor,10648398,kortrijk,8500,West-Vlaanderen,Flanders,603000,Vlaskaai 6,A,65.0,0,1,17,0,0,0,2020,0,3,2,0,0,2,Installed,Gas,€603000
6801,house,bungalow,10648393,serskamp,9260,Oost-Vlaanderen,Flanders,339000,Marktplein 63,C,266.0,0,1,0,574,0,0,0,As new,3,1,0,0,2,Hyper equipped,Pellet,€339000
6802,house,house,10648383,oostrozebeke,8780,West-Vlaanderen,Flanders,149500,Brugsesteenweg 43,F,809.0,0,0,0,245,22,0,1966,To renovate,3,1,0,0,1,Semi equipped,0,€149500
6803,house,house,10648381,gent,9000,Oost-Vlaanderen,Flanders,295000,Brugsesteenweg 43,D,318.0,0,1,4,40,0,0,0,As new,5,1,0,0,0,Installed,Gas,€295000
6804,house,house,10648380,moorslede,8890,West-Vlaanderen,Flanders,275000,Brugsesteenweg 43,C,213.0,0,1,0,246,18,0,0,As new,4,1,0,0,1,Installed,Gas,€275000
6805,house,house,10648378,steenokkerzeel,1820,Vlaams-Brabant,Flanders,295000,Godshuisstraat 1,A,39.0,0,0,0,0,0,0,2020,0,2,1,0,0,1,0,0,€295000
6806,apartment,flat-studio,10648377,blankenberge,8370,West-Vlaanderen,Flanders,119500,Godshuisstraat 1,B,168.0,1,0,0,0,27,0,0,As new,0,1,0,0,0,Installed,Gas,€119500
6807,apartment,flat-studio,10648376,blankenberge,8370,West-Vlaanderen,Flanders,115000,Godshuisstraat 1,B,185.0,1,0,0,0,27,0,0,As new,0,1,0,0,0,0,0,€115000
6808,house,house,10648375,sint-niklaas,9100,Oost-Vlaanderen,Flanders,155000,Godshuisstraat 1,A,84.0,0,0,0,0,0,0,0,0,1,1,0,0,0,Installed,Gas,€155000
6809,house,house,10648373,sint-niklaas,9100,Oost-Vlaanderen,Flanders,155000,Godshuisstraat 1,B,129.0,0,0,0,0,0,0,0,Just renovated,1,1,0,0,0,Installed,Gas,€155000
6810,house,house,10648372,sint-amandsberg,9040,Oost-Vlaanderen,Flanders,295000,Godshuisstraat 1,E,472.0,0,1,0,70,0,0,1970,As new,5,2,0,0,0,Installed,0,€295000
6811,apartment,apartment,10648371,wenduine,8420,West-Vlaanderen,Flanders,199000,Torhoutse Steenweg 344,C,245.0,0,0,0,0,29,0,1920,As new,2,0,0,0,0,Installed,Gas,€199000
6812,house,house,10648368,nijlen,2560,Antwerpen,Flanders,249000,Turnhoutsebaan 175,F,648.0,0,0,0,300,0,0,0,To renovate,3,1,0,0,1,Semi equipped,0,€249000
6813,apartment,apartment,10648366,wilrijk,2610,Antwerpen,Flanders,339000,Turnhoutsebaan 175,B,177.0,0,1,35,0,0,0,0,0,3,2,0,0,1,Installed,Gas,€339000
6814,house,house,10648364,niel,2845,Antwerpen,Flanders,369000,Turnhoutsebaan 175,C,228.0,0,0,0,169,18,0,1960,0,3,1,0,0,1,Installed,Gas,€369000
6815,apartment,apartment,10648362,hasselt,3500,Limburg,Flanders,349000,Havermarkt 22,B,109.0,0,1,30,0,0,0,1962,As new,2,2,0,0,1,Hyper equipped,Gas,€349000
6816,house,house,10648361,tongeren,3700,Limburg,Flanders,259000,Havermarkt 22,C,234.0,0,0,0,490,0,0,1993,0,3,1,0,0,1,Installed,Gas,€259000
6817,house,town-house,10648359,wolvertem,1861,Vlaams-Brabant,Flanders,549000,Boterlaanbaan 323,B,181.0,0,1,52,370,0,0,1965,0,4,2,0,0,2,Hyper equipped,Gas,€549000
6818,house,villa,10648356,marke,8510,West-Vlaanderen,Flanders,799000,Gentsesteenweg 24,D,341.0,0,1,0,1563,0,0,1986,As new,5,2,0,0,1,USA installed,Fuel oil,€799000
6819,house,house,10648355,harelbeke,8530,West-Vlaanderen,Flanders,99000,Gentsesteenweg 24,F,1154.0,0,1,0,72,0,0,0,To renovate,3,1,0,0,1,Installed,0,€99000
6820,house,house,10648354,kortrijk,8500,West-Vlaanderen,Flanders,290000,Gentsesteenweg 24,B,112.0,0,1,0,84,0,0,1948,As new,4,1,0,0,2,USA installed,0,€290000
6822,house,house,10648349,aalbeke,8511,West-Vlaanderen,Flanders,275000,Aalbeke-Plaats 17,B,195.0,0,0,0,168,0,2,0,Good,4,2,0,0,2,0,Gas,€275000
6823,house,house,10648348,pollare,9401,Oost-Vlaanderen,Flanders,310000,Brakelsesteenweg 269,C,254.0,0,0,0,700,0,3,0,Good,2,1,0,0,1,Installed,Fuel oil,€310000
6824,house,house,10648347,ninove,9400,Oost-Vlaanderen,Flanders,310000,Brakelsesteenweg 269,C,254.0,0,0,0,700,0,3,0,Good,2,1,0,0,1,Installed,Fuel oil,€310000
6825,house,villa,10648345,ellezelles,7890,Hainaut,Wallonia,360000,rue du Pont-Quelin 12 Bt A,C,235.0,0,0,0,860,30,4,0,Good,4,1,0,0,1,Installed,Gas,€360000
6826,house,house,10640806,quevaucamps,7972,Hainaut,Wallonia,125000,rue du Pont-Quelin 12 Bt A,E,406.0,0,0,0,0,25,3,0,0,2,1,0,0,1,Not installed,Fuel oil,€125000
6827,house,house,10648344,waregem,8790,West-Vlaanderen,Flanders,345000,Wakkensteenweg 67,C,208.0,0,1,0,502,0,0,1989,To be done up,3,1,0,0,2,Installed,Gas,€345000
6829,house,house,10648334,wondelgem,9032,Oost-Vlaanderen,Flanders,399000,Evergemsesteenweg 44A,C,210.0,0,0,0,430,0,3,1981,To be done up,3,1,0,0,2,Installed,Gas,€399000
6830,apartment,apartment,10648333,gent,9000,Oost-Vlaanderen,Flanders,275000,Evergemsesteenweg 44A,A,99.0,0,0,0,0,0,2,1976,Good,2,1,0,0,1,Installed,Gas,€275000
6831,apartment,apartment,10648332,gent,9000,Oost-Vlaanderen,Flanders,245000,Evergemsesteenweg 44A,C,211.0,0,0,0,0,0,2,1968,To be done up,2,1,0,0,1,Installed,Gas,€245000
6832,apartment,apartment,10648330,wondelgem,9032,Oost-Vlaanderen,Flanders,299000,Evergemsesteenweg 44A,B,147.0,0,0,0,0,0,2,0,As new,2,1,0,0,1,Installed,Gas,€299000
6833,house,house,10648328,gent,9000,Oost-Vlaanderen,Flanders,495000,Evergemsesteenweg 44A,C,214.0,0,0,0,319,0,2,0,Good,6,3,0,0,3,Installed,Gas,€495000
6834,house,house,10648326,gent,9000,Oost-Vlaanderen,Flanders,279000,Rondehuisjesdreef 3,D,327.0,0,0,0,40,0,0,0,To be done up,3,1,0,0,2,0,0,€279000
6835,house,villa,10648325,melle,9090,Oost-Vlaanderen,Flanders,530000,"Graaf v. Vlaanderenplein, 35",C,257.0,0,0,0,0,0,0,1974,As new,3,1,0,0,0,Installed,Gas,€530000
6836,apartment,apartment,10648321,knokke,8300,West-Vlaanderen,Flanders,449000,Ajuinlei 12,A,62.0,0,0,0,0,0,0,1992,As new,2,1,0,0,1,Installed,0,€449000
6837,house,house,10648320,sint-amandsberg,9040,Oost-Vlaanderen,Flanders,170000,Ajuinlei 12,E,456.0,0,0,0,42,30,0,0,To renovate,2,1,0,0,0,Installed,Gas,€170000
6838,house,house,10648319,gent,9000,Oost-Vlaanderen,Flanders,170000,Ajuinlei 12,E,456.0,0,0,0,42,30,0,0,To renovate,2,1,0,0,0,Installed,Gas,€170000
6839,apartment,apartment,10648318,roeselare,8800,West-Vlaanderen,Flanders,179000,Torhoutstraat 11a,C,298.0,0,0,0,0,0,0,1978,As new,2,1,0,0,0,0,0,€179000
6840,apartment,apartment,10648316,knokke-zoute,8300,West-Vlaanderen,Flanders,2360000,Kustlaan 277,D,309.0,0,1,0,0,0,4,1978,0,3,3,0,0,4,USA hyper equipped,Gas,€2360000
6841,house,house,10648314,knokke-heist,8300,West-Vlaanderen,Flanders,2495000,Kustlaan 277,B,154.0,0,1,0,793,0,4,1997,As new,5,3,0,0,4,Hyper equipped,Gas,€2495000
6842,house,castle,10648312,pommeroeul,7322,Hainaut,Wallonia,1750000,Rue du Moulin 25,F,467.0,0,1,80,87524,0,4,1920,Good,6,4,4,1,0,Installed,Fuel oil,€1750000
6843,house,house,10648298,lo-reninge,8647,West-Vlaanderen,Flanders,265000,Esenweg 197,F,606.0,0,1,0,575,0,0,0,As new,3,1,0,0,1,Semi equipped,Gas,€265000
6844,house,house,10648296,merkem,8650,West-Vlaanderen,Flanders,194500,Esenweg 197,F,928.0,0,1,0,465,0,0,1956,Good,2,1,0,0,1,Semi equipped,Fuel oil,€194500
6845,apartment,apartment,10648293,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,159000,Chaussée de Vleurgat 293,G,560.0,0,0,0,0,0,2,0,To be done up,1,1,1,0,1,Hyper equipped,Gas,€159000
6846,house,house,10648291,merksem,2170,Antwerpen,Flanders,390000,Dorpsstraat 34 Bus 1,C,283.0,0,1,0,0,0,0,0,As new,0,1,0,0,3,0,0,€390000
6847,house,house,10587811,herselt,2230,Antwerpen,Flanders,299000,Dorpsstraat 34 Bus 1,F,902.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,€299000
6849,house,house,10498074,nijlen,2560,Antwerpen,Flanders,285000,Dorpsstraat 34 Bus 1,F,643.0,0,1,0,157,0,0,1963,To renovate,2,1,0,0,2,Installed,0,€285000
6850,apartment,apartment,10648287,knokke,8300,West-Vlaanderen,Flanders,995000,Sparrendreef 90 – Kustlaan 239 – Duinbergenlaan 92,B,110.0,0,1,0,0,0,0,1974,0,3,2,0,0,0,0,0,€995000
6851,apartment,apartment,10648285,brasschaat,2930,Antwerpen,Flanders,25000,Bredabaan 133,B,145.0,0,1,0,0,0,0,1970,To be done up,2,1,0,0,1,Installed,Gas,€25.000.
6852,house,house,10648280,watervliet,9988,Oost-Vlaanderen,Flanders,495000,Boelare 86,D,319.0,0,0,0,1938,0,0,1980,0,5,1,0,0,1,Installed,0,€495000
6854,house,house,10648276,zottegem,9620,Oost-Vlaanderen,Flanders,185000,"Heldenlaan, 83",E,481.0,0,1,0,75,0,0,0,As new,2,1,0,1,1,Installed,0,€185000
6855,house,house,10648274,gent,9000,Oost-Vlaanderen,Flanders,595000,Grote Huidevettershoek 1-102,C,244.0,0,0,0,0,0,0,0,0,4,2,0,1,1,0,0,€595000
6856,apartment,apartment,10648273,gent,9000,Oost-Vlaanderen,Flanders,369000,Grote Huidevettershoek 1-102,B,143.0,0,0,0,0,0,0,1971,As new,2,1,0,0,1,0,0,€369000
6857,apartment,apartment,10648272,sint-amandsberg,9040,Oost-Vlaanderen,Flanders,325000,Grote Huidevettershoek 1-102,B,197.0,0,1,0,0,0,0,1970,To be done up,2,1,0,0,0,Installed,Gas,€325000
6858,apartment,apartment,10648271,gent,9000,Oost-Vlaanderen,Flanders,795000,Grote Huidevettershoek 1-102,B,185.0,0,0,0,0,0,0,0,0,2,1,0,0,0,Hyper equipped,Gas,€795000
6859,house,house,10648269,braine-le-comte,7090,Hainaut,Wallonia,165000,Chaussée de Bruxelles 2,C,234.0,0,1,10,70,0,2,1930,0,2,1,0,0,0,0,Gas,€165000
6860,house,house,10648267,meulebeke,8760,West-Vlaanderen,Flanders,195000,Vredestraat 12,F,820.0,0,0,0,1024,0,3,1930,To renovate,3,1,0,0,0,0,Gas,€195000
6861,house,house,10648266,lichtervelde,8810,West-Vlaanderen,Flanders,349000,Bruggestraat 13,C,284.0,0,1,0,814,0,4,1958,Good,2,1,0,0,0,0,Gas,€349000
6862,house,house,10648265,zwevezele,8750,West-Vlaanderen,Flanders,338000,Bruggestraat 13,D,363.0,0,1,0,847,0,3,1960,0,3,1,0,1,0,0,Fuel oil,€338000
6863,house,house,10560289,rumbeke,8800,West-Vlaanderen,Flanders,235000,beversesteenweg 458,F,1157.0,0,0,0,584,0,0,1972,0,2,1,0,0,0,0,Gas,€235000
6864,house,house,10648253,roeselare,8800,West-Vlaanderen,Flanders,295000,beversesteenweg 458,E,453.0,0,0,0,477,0,0,1982,As new,3,1,0,0,1,Installed,Fuel oil,€295000
6865,house,house,10648252,roeselare,8800,West-Vlaanderen,Flanders,129000,beversesteenweg 458,D,376.0,0,1,8,43,0,0,1942,Good,4,1,0,0,1,Semi equipped,Gas,€129000
6866,house,house,10648250,roeselare,8800,West-Vlaanderen,Flanders,212000,beversesteenweg 458,C,282.0,0,0,0,280,0,0,1960,Good,3,1,0,0,1,Semi equipped,0,€212000
6867,apartment,apartment,10648235,riemst,3770,Limburg,Flanders,249000,Vrijthof 7,B,150.0,0,1,32,0,33,3,1997,0,2,1,0,0,1,Installed,Gas,€249000
6868,house,house,10648195,roeselare,8800,West-Vlaanderen,Flanders,329000,Elisabethlaan 21/23,B,174.0,0,0,0,698,0,0,0,0,5,1,1,0,3,Installed,Gas,€329000
6869,house,house,10648190,torhout,8820,West-Vlaanderen,Flanders,259000,Elisabethlaan 21/23,F,702.0,0,0,0,515,0,3,1975,Good,4,1,0,0,1,Installed,Electric,€259000
6872,house,house,10648160,nazareth,9810,Oost-Vlaanderen,Flanders,342000,Dokter Honore Dewolfstraat 23,F,772.0,0,0,0,1389,35,4,1977,To renovate,2,1,0,0,1,0,Fuel oil,€342000
