,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2
742,apartment,apartment,10665823,gent,9000,Oost-Vlaanderen,Flanders,320000,Brusselsesteenweg 690,2,A,25.0,0,1,11,0,35,0,2025,0,0,1,0,0,1,Hyper equipped,0,320000,€320000,1
743,apartment,apartment,10665822,gent,9000,Oost-Vlaanderen,Flanders,330000,Brusselsesteenweg 690,2,A,25.0,0,1,13,0,32,0,2025,0,0,1,0,0,0,Hyper equipped,0,330000,€330000,1
754,house,house,10665807,oostende,8400,West-Vlaanderen,Flanders,299000,Zuidstraat 2,5,E,483.0,0,1,0,125,0,0,0,Good,0,1,0,0,2,Installed,Gas,299000,€299000,1
755,apartment,apartment,10665805,merelbeke,9820,Oost-Vlaanderen,Flanders,295000,Dokter Honore Dewolfstraat 23,2,F,512.0,0,1,0,0,36,3,1995,As new,0,1,0,0,1,0,0,295000,€295000,1
756,house,house,10665801,oudenaarde,9700,Oost-Vlaanderen,Flanders,149000,Dokter Honore Dewolfstraat 23,5,F,602.0,0,1,0,0,20,3,0,To renovate,0,1,0,0,1,0,Gas,149000,€149000,1
757,house,house,10665800,brakel,9660,Oost-Vlaanderen,Flanders,249000,Dokter Honore Dewolfstraat 23,3,F,1073.0,0,0,0,2399,25,3,1940,0,0,1,0,0,1,0,Gas,249000,€249000,0
758,apartment,apartment,10665798,geel,2440,Antwerpen,Flanders,10000,Markt 20,1,C,231.0,0,1,0,0,0,2,2009,Good,0,1,0,0,1,0,Gas,10000,€10.000.,1
759,house,house,10665796,temse,9140,Oost-Vlaanderen,Flanders,241000,Parklaan 25,3,C,241.0,0,0,0,120,0,0,1933,Just renovated,0,1,0,0,2,Installed,Gas,241000,€241000,0
760,apartment,apartment,10645070,ledegem,8880,West-Vlaanderen,Flanders,205000,Westlaan 466,1,B,182.0,0,1,0,0,0,0,0,As new,0,1,0,0,0,0,0,205000,€205000,1
761,apartment,new-real-estate-project-apartments,10665755,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,1449000,Avenue Louise 480,0,B,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1449000,€1449000,0
762,house,house,10665753,viersel,2240,Antwerpen,Flanders,375000,Antwerpsesteenweg 359,3,B,119.0,0,0,0,248,40,2,0,Good,0,1,0,0,1,0,0,375000,€375000,0
765,apartment,apartment-block,10665748,antwerp,2060,Antwerpen,Flanders,37700,Italiëlei 207,6,B,159.0,0,0,0,0,0,3,1989,Good,0,5,0,0,7,Semi equipped,Gas,37700,€37700/jaarlijks,0
766,apartment,apartment,10665747,borgerhout,2140,Antwerpen,Flanders,225000,Italiëlei 207,2,B,193.0,0,1,0,0,0,2,1978,Good,0,1,0,0,1,0,0,225000,€225000,1
767,apartment,ground-floor,10665746,berchem,2600,Antwerpen,Flanders,285000,Italiëlei 207,2,C,295.0,0,1,2,0,34,2,1960,Good,0,1,0,0,1,Installed,Gas,285000,€285000,1
768,apartment,apartment,10665744,mechelen,2800,Antwerpen,Flanders,395000,Oscar Van Kesbeeckstraat 7,2,B,119.0,0,1,0,0,0,2,1995,Good,0,1,0,0,1,USA semi equipped,Gas,395000,€395000,1
769,house,house,10665740,sint-truiden,3800,Limburg,Flanders,225000,Schurhoven 5,3,E,458.0,0,0,0,480,0,3,0,To be done up,0,1,0,0,1,Semi equipped,Gas,225000,€225000,0
770,house,house,10665736,lebbeke,9280,Oost-Vlaanderen,Flanders,398000,Meyskensstraat 222,3,F,891.0,0,1,20,483,47,3,1956,Good,0,1,0,0,2,Installed,Electric,398000,€398000,1
771,house,villa,10665726,laarne,9270,Oost-Vlaanderen,Flanders,2370000,Damstraat 131 bus1,4,A,29.0,0,1,0,5513,0,4,2020,0,0,4,0,0,5,Hyper equipped,0,2370000,€2370000,1
772,house,house,10665716,rijkevorsel,2310,Antwerpen,Flanders,389000,Hoek 29,3,C,256.0,0,0,0,963,0,4,1974,Good,0,1,0,0,2,0,0,389000,€389000,0
773,house,house,10665713,heers,3870,Limburg,Flanders,389000,Luikerstraat 81,3,A,28.0,0,0,0,606,0,3,2019,Good,0,1,0,0,2,Installed,Gas,389000,€389000,0
774,apartment,apartment-block,10665712,hasselt,3500,Limburg,Flanders,285000,Luikerstraat 81,3,B,124.0,0,0,0,0,0,0,2009,Good,0,1,0,0,1,Installed,0,285000,€285000,0
775,apartment,apartment,10665711,sint-truiden,3800,Limburg,Flanders,199000,Luikerstraat 81,2,C,218.0,0,1,0,0,0,2,2000,0,0,1,1,0,1,Installed,0,199000,€199000,1
776,house,house,10665710,beersel,1650,Vlaams-Brabant,Flanders,285000,Minderbroedersstraat 8,3,F,764.0,0,0,0,687,0,3,0,To renovate,0,1,0,0,1,0,Gas,285000,€285000,0
777,apartment,apartment-block,10665701,essenbeek,1500,Vlaams-Brabant,Flanders,450000,Alsembergsesteenweg 660,3,E,422.0,0,1,0,330,0,3,1930,To be done up,0,2,0,0,2,Installed,Gas,450000,€450000,1
778,apartment,apartment,10665700,uccle,1180,Brussels Hoofdstedelijk Gewest,Brussels,275000,Alsembergsesteenweg 660,2,E,226.0,0,1,10,0,35,2,2010,Good,0,1,0,0,0,Semi equipped,Gas,275000,€275000,1
779,apartment,apartment,10665699,bruxelles,1000,Brussels Hoofdstedelijk Gewest,Brussels,295000,"Rue de Pervyse, 37",1,F,323.0,1,1,8,0,53,3,0,0,0,1,0,0,1,USA hyper equipped,Gas,295000,€295000,1
780,apartment,penthouse,10665696,bredene,8450,West-Vlaanderen,Flanders,229000,Oostendsesteenweg 216B,1,E,487.0,0,1,0,0,0,0,1998,Good,0,1,0,0,2,Semi equipped,Electric,229000,€229000,1
781,house,house,10665689,haillot,5351,Namur,Wallonia,309000,Rue de la Falize 17,3,F,509.0,0,1,32,1980,0,4,0,Just renovated,0,0,1,0,1,0,0,309000,€309000,1
782,house,house,10665685,marcinelle,6001,Hainaut,Wallonia,209000,Rue de la Falize 17,3,C,246.0,0,0,0,225,27,3,1963,Good,0,0,1,1,2,Installed,Gas,209000,€209000,0
783,house,house,10665684,soli%C3%88res,4500,Liï¿½ge,Wallonia,349000,Route du Condroz 151,4,F,467.0,0,1,0,1280,0,4,0,Good,0,2,0,0,2,Installed,Fuel oil,349000,€349000,1
784,apartment,apartment-block,10665682,diepenbeek,3590,Limburg,Flanders,680000,Hasseltsestraat 17,8,B,182.0,0,0,0,1388,0,4,1977,Good,0,4,4,0,4,Installed,Gas,680000,€680000,0
