,property_type,property_subtype,immo code,Location,Postcode,Province,Region,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,Price2,Price_orig,Terrace2
3823,apartment,apartment-block,10656544,marcinelle,6001,Hainaut,Wallonia,470000,rue de France 26,9,D,326.0,0,1,3,0,0,2,0,0,0,5,0,0,0,0,Gas,470000,€470000,1
3824,apartment,apartment-block,10626826,li%C3%A8ge,4000,Liï¿½ge,Wallonia,475000,"Thier D'oupeye,26",0,B,163.0,0,0,0,70,12,3,0,To be done up,0,0,4,0,6,Semi equipped,Gas,475000,€475000,0
3825,house,house,10656533,courcelles,6180,Hainaut,Wallonia,195000,Place Communale 18,3,D,320.0,0,1,25,200,0,2,1960,As new,0,3,3,0,3,USA semi equipped,Gas,195000,€195000,1
3826,house,house,10656531,ecaussinnes,7190,Hainaut,Wallonia,189000,Chaussée Paul Houtart 232,2,C,218.0,0,1,0,204,0,3,1874,As new,0,1,0,0,1,Installed,Gas,189000,€189000,1
3828,apartment,new-real-estate-project-apartments,10656502,gavere,9890,Oost-Vlaanderen,Flanders,429500,Sint-Denijslaan 1,0,A,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429500,€429500,0
3829,apartment,ground-floor,10656501,gavere,9890,Oost-Vlaanderen,Flanders,356000,Sint-Denijslaan 1,3,A,1.0,0,1,15,0,29,4,2021,As new,0,2,0,0,1,Hyper equipped,Gas,356000,€356000,1
3830,apartment,ground-floor,10656500,gavere,9890,Oost-Vlaanderen,Flanders,339000,Sint-Denijslaan 1,2,A,1.0,0,1,10,0,30,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,339000,€339000,1
3831,apartment,ground-floor,10656499,gavere,9890,Oost-Vlaanderen,Flanders,259000,Sint-Denijslaan 1,1,A,1.0,0,1,11,0,19,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,259000,€259000,1
3832,apartment,ground-floor,10656498,gavere,9890,Oost-Vlaanderen,Flanders,269000,Sint-Denijslaan 1,1,A,1.0,0,1,11,0,29,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,269000,€269000,1
3834,apartment,ground-floor,10656496,gavere,9890,Oost-Vlaanderen,Flanders,265000,Sint-Denijslaan 1,1,A,1.0,0,1,11,0,27,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,265000,€265000,1
3835,apartment,apartment,10656495,gavere,9890,Oost-Vlaanderen,Flanders,316000,Sint-Denijslaan 1,2,A,1.0,0,1,10,0,31,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,316000,€316000,1
3836,apartment,apartment,10656494,gavere,9890,Oost-Vlaanderen,Flanders,356000,Sint-Denijslaan 1,3,A,1.0,0,1,10,0,29,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,356000,€356000,1
3837,apartment,apartment,10656493,gavere,9890,Oost-Vlaanderen,Flanders,366000,Sint-Denijslaan 1,2,A,1.0,0,1,11,0,29,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,366000,€366000,1
3838,apartment,apartment,10656492,gavere,9890,Oost-Vlaanderen,Flanders,265000,Sint-Denijslaan 1,1,A,1.0,0,1,11,0,19,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,265000,€265000,1
3839,apartment,apartment,10656491,gavere,9890,Oost-Vlaanderen,Flanders,328500,Sint-Denijslaan 1,2,A,1.0,0,1,10,0,31,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,328500,€328500,1
3840,apartment,apartment,10656490,gavere,9890,Oost-Vlaanderen,Flanders,360000,Sint-Denijslaan 1,3,A,1.0,0,1,10,0,29,4,2021,As new,0,2,0,0,1,Hyper equipped,Gas,360000,€360000,1
3841,apartment,apartment,10656489,gavere,9890,Oost-Vlaanderen,Flanders,369500,Sint-Denijslaan 1,3,A,1.0,0,1,11,0,29,4,2021,As new,0,2,0,0,1,Hyper equipped,Gas,369500,€369500,1
3842,apartment,apartment,10656488,gavere,9890,Oost-Vlaanderen,Flanders,269000,Sint-Denijslaan 1,1,A,1.0,0,1,11,0,19,4,2021,As new,0,1,0,0,1,Hyper equipped,Gas,269000,€269000,1
3843,apartment,duplex,10656487,gavere,9890,Oost-Vlaanderen,Flanders,426000,Sint-Denijslaan 1,3,A,1.0,0,1,11,0,32,4,2021,As new,0,2,0,1,1,Hyper equipped,Gas,426000,€426000,1
3844,apartment,duplex,10656486,gavere,9890,Oost-Vlaanderen,Flanders,429500,Sint-Denijslaan 1,3,A,1.0,0,1,11,0,28,4,2021,As new,0,2,0,1,1,Hyper equipped,Gas,429500,€429500,1
3845,apartment,apartment,10656485,gavere,9890,Oost-Vlaanderen,Flanders,412500,Sint-Denijslaan 1,2,A,1.0,0,1,11,0,23,4,2021,As new,0,2,0,0,1,Hyper equipped,Gas,412500,€412500,1
3847,house,house,10656479,gent%20gentbrugge,9050,Oost-Vlaanderen,Flanders,560000,Sint-Denijslaan 1,3,A,20.0,0,1,19,286,16,3,2023,0,0,1,1,1,2,USA hyper equipped,0,560000,€560000,1
3848,house,house,10656478,gent%20gentbrugge,9050,Oost-Vlaanderen,Flanders,566800,Sint-Denijslaan 1,3,A,20.0,0,1,19,304,16,3,2023,0,0,1,1,1,2,USA hyper equipped,0,566800,€566800,1
3849,house,house,10656477,gent%20gentbrugge,9050,Oost-Vlaanderen,Flanders,640000,Sint-Denijslaan 1,3,A,20.0,0,1,18,402,21,4,2023,0,0,1,1,1,2,USA hyper equipped,0,640000,€640000,1
3853,house,villa,10656435,waregem,8790,West-Vlaanderen,Flanders,595000,Veemarkt 2,3,F,530.0,0,1,60,1775,0,4,1996,As new,0,1,1,0,2,Hyper equipped,0,595000,€595000,1
3854,house,house,10656433,aarschot,3201,Vlaams-Brabant,Flanders,309000,Herseltsesteenweg 95,4,D,313.0,0,1,0,370,0,4,1990,Good,0,1,0,1,2,Installed,Fuel oil,309000,€309000,1
3856,apartment,apartment,10656430,iddergem,9472,Oost-Vlaanderen,Flanders,259000,Stationsstraat 120,2,B,105.0,1,1,11,0,39,2,2010,0,0,1,0,0,0,Installed,Gas,259000,€259000,1
3857,apartment,apartment,10656429,denderleeuw,9470,Oost-Vlaanderen,Flanders,259000,Stationsstraat 120,2,B,105.0,1,1,11,0,39,2,2010,0,0,1,0,0,0,Installed,Gas,259000,€259000,1
3859,house,villa,10656419,kortenberg%20everberg,3078,Vlaams-Brabant,Flanders,899000,Brusselsesteenweg 66,3,E,405.0,0,1,0,2640,0,4,1965,Good,0,2,2,1,2,USA hyper equipped,Fuel oil,899000,€899000,1
3860,house,house,10656416,denderleeuw,9470,Oost-Vlaanderen,Flanders,359000,Nieuwstraat 9,3,B,161.0,0,1,0,177,35,2,1956,Good,0,1,0,1,2,Hyper equipped,Gas,359000,€359000,1
3861,apartment,apartment,10656415,antwerp,2000,Antwerpen,Flanders,449000,33 Ernest Van Dijckkaai,3,C,241.0,0,1,2,0,50,0,0,As new,0,1,0,0,1,Installed,Electric,449000,€449000,1
3862,house,exceptional-property,10656414,herent,3020,Vlaams-Brabant,Flanders,475000,Tiensesteenweg 93,2,F,527.0,0,1,90,941,20,4,1952,Good,0,1,0,0,1,Installed,Gas,475000,€475000,1
3863,house,villa,10656412,brasschaat,2930,Antwerpen,Flanders,2195000,Turnhoutsebaan 75,5,B,130.66,0,1,145,4360,88,4,2013,0,0,3,0,1,0,Hyper equipped,Gas,2195000,€2195000,1
3864,house,house,10656403,beveren-waas,9120,Oost-Vlaanderen,Flanders,425000,Yzerhand 14,2,B,141.0,0,1,17,225,40,2,2014,Good,0,1,0,0,2,Installed,Gas,425000,€425000,1
3866,house,house,10656398,berlaar,2590,Antwerpen,Flanders,429000,Bevelsesteenweg 4,2,A,92.0,0,1,0,348,0,3,1953,0,0,1,0,0,2,Hyper equipped,0,429000,€429000,1
3867,apartment,apartment,10656396,denderleeuw,9470,Oost-Vlaanderen,Flanders,200000,Rue Xavier De Bue 1,2,E,457.0,0,1,2,0,53,3,1992,Good,0,1,0,1,1,Semi equipped,0,200000,€200000,1
3868,house,house,10656392,li%C3%A8ge%20grivegn%C3%A9e,4030,Liï¿½ge,Wallonia,269000,Rue de Herve 70,3,C,212.0,0,1,27,96,17,2,1934,Just renovated,0,1,1,1,2,Installed,Gas,269000,€269000,1
3869,house,house,10656391,li%C3%A8ge%20grivegn%C3%A9e,4030,Liï¿½ge,Wallonia,269000,Rue de Herve 70,3,C,212.0,0,1,27,96,17,2,1934,Just renovated,0,1,1,1,2,Installed,Gas,269000,€269000,1
3870,house,house,10656390,liege,4020,Liï¿½ge,Wallonia,125000,Rue de Herve 70,2,E,420.0,0,0,0,35,0,3,0,As new,0,1,1,0,1,Installed,Gas,125000,€125000,0
3872,house,villa,10656387,edegem,2650,Antwerpen,Flanders,925000,Kapelstraat 71,4,C,210.0,0,1,0,1808,49,4,1951,0,0,1,0,0,0,Installed,Gas,925000,€925000,1
3874,house,house,10656377,ninove,9400,Oost-Vlaanderen,Flanders,178000,Hoogstraat 20,3,F,724.0,0,1,0,100,12,2,1930,To renovate,0,1,0,0,1,Installed,Gas,178000,€178000,1
3875,house,house,10656375,erpe-mere,9420,Oost-Vlaanderen,Flanders,298000,Hoogstraat 20,4,F,680.0,0,1,0,660,20,3,1963,Good,0,1,0,1,2,Hyper equipped,Gas,298000,€298000,1
3876,house,town-house,10656374,aalst,9300,Oost-Vlaanderen,Flanders,329000,Hoogstraat 20,3,C,223.0,0,1,0,270,15,2,1974,As new,0,1,0,0,2,USA hyper equipped,Gas,329000,€329000,1
3877,house,house,10656371,erpe-mere,9420,Oost-Vlaanderen,Flanders,229000,Hoogstraat 20,3,E,449.0,0,1,0,363,22,3,1962,To renovate,0,1,0,0,0,Installed,Gas,229000,€229000,1
3878,house,house,10656370,berlare,9290,Oost-Vlaanderen,Flanders,439000,Hoogstraat 20,4,D,396.0,0,1,0,570,40,4,1994,Good,0,2,1,1,3,Installed,Electric,439000,€439000,1
3879,house,house,10656367,dilsen-stokkem,3650,Limburg,Flanders,215000,Ryksweg 235,3,F,690.0,0,0,0,548,0,4,1966,0,0,1,0,0,0,0,Gas,215000,€215000,0
3880,house,house,10656366,geraardsbergen,9500,Oost-Vlaanderen,Flanders,179000,BRUGSTRAAT 31  BUS 4,2,F,532.0,0,0,0,250,30,2,1925,To be done up,0,1,1,0,1,Semi equipped,Gas,179000,€179000,0
3881,house,house,10420097,geraardsbergen,9500,Oost-Vlaanderen,Flanders,169000,BRUGSTRAAT 31  BUS 4,2,D,352.0,0,1,15,113,41,2,0,0,0,1,1,0,2,0,Gas,169000,€169000,1
3882,house,house,10656364,schilde,2970,Antwerpen,Flanders,529000,"Turnhoutsebaan, 532",3,C,285.0,0,1,0,435,0,3,1938,0,0,1,0,0,0,0,0,529000,€529000,1
3884,apartment,apartment,10656357,jette,1090,Brussels Hoofdstedelijk Gewest,Brussels,189000,Avenue de Laeken 29,1,G,744.0,0,1,5,0,27,2,1922,As new,0,1,0,0,1,USA installed,Gas,189000,€189000,1
3885,house,house,10656354,tongeren,3700,Limburg,Flanders,365000,Hondsstraat 21B1,4,F,921.0,0,1,35,1570,39,4,1971,Good,0,1,0,0,2,Installed,Fuel oil,365000,€365000,1
3886,house,house,10656352,tongeren,3700,Limburg,Flanders,165000,Hondsstraat 21B1,2,F,591.0,0,0,0,322,35,2,0,Good,0,1,0,0,2,Installed,Gas,165000,€165000,0
3888,house,house,10656347,aalst,9300,Oost-Vlaanderen,Flanders,269000,Graanmarkt 10,2,A,99.0,0,1,0,85,20,2,1919,Good,0,1,0,0,1,USA installed,Gas,269000,€269000,1
3889,house,exceptional-property,10656344,lasne,1380,Brabant wallon,Wallonia,1195000,Rue François Libert 39,5,C,242.0,0,1,100,4000,60,4,1970,Just renovated,0,5,0,1,3,USA hyper equipped,Fuel oil,1195000,€1195000,1
3890,house,house,10656343,jodoigne,1370,Brabant wallon,Wallonia,490000,"Avenue de Mérode , 4",3,C,199.0,0,1,20,1500,33,3,0,Just renovated,0,1,0,1,2,0,Pellet,490000,€490000,1
3891,apartment,apartment,10656342,knokke-heist,8300,West-Vlaanderen,Flanders,2095000,Albert plein 10,3,A,65.0,0,1,0,0,0,2,2016,As new,0,2,1,1,2,Hyper equipped,Gas,2095000,€2095000,1
3892,house,house,10656340,knokke-heist,8300,West-Vlaanderen,Flanders,995000,Albert plein 10,3,F,589.0,0,1,0,224,0,3,0,To renovate,0,2,2,0,2,Semi equipped,Gas,995000,€995000,1
3894,apartment,apartment,10656338,knokke-heist,8300,West-Vlaanderen,Flanders,720000,Albert plein 10,2,A,98.0,1,1,0,0,0,2,2012,As new,0,2,2,0,2,Hyper equipped,Gas,720000,€720000,1
3895,house,villa,10656337,mechelen,2800,Antwerpen,Flanders,745000,Brusselsesteenweg 6,3,C,230.0,0,1,0,1054,50,4,1951,0,0,3,0,1,2,Hyper equipped,Gas,745000,€745000,1
3896,house,mixed-use-building,10550637,antwerpen%20hoboken,2660,Antwerpen,Flanders,339900,"Mechelsesteenweg,157",2,D,349.0,0,1,0,303,28,2,0,Good,0,1,0,0,0,Installed,Gas,339900,€339900,1
3897,house,house,10656334,fontaine-l%27eveque,6140,Hainaut,Wallonia,175000,Route de Gozée 651/1,4,E,384.0,0,1,60,170,0,2,0,Good,0,1,0,0,1,Installed,Gas,175000,€175000,1
3899,house,house,10656328,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,725000,"Val des Seigneurs, 9a",4,D,205.0,0,0,0,120,47,2,1932,As new,0,2,0,1,2,USA hyper equipped,Gas,725000,€725000,0
3901,house,villa,10656325,turnhout,2300,Antwerpen,Flanders,485000,Grote Markt 22,3,D,367.0,0,1,0,1440,0,4,1982,0,0,1,0,0,2,0,Gas,485000,€485000,1
3902,house,chalet,10656324,ravels%20poppel,2382,Antwerpen,Flanders,185000,Grote Markt 22,4,C,295.0,0,1,0,270,0,4,1980,0,0,1,0,0,0,0,Gas,185000,€185000,1
3903,apartment,apartment,10656323,antwerp,2050,Antwerpen,Flanders,17500,Frederik Van Eedenplein 8,2,C,207.0,0,1,7,0,0,2,1969,0,0,1,0,0,1,0,Gas,17500,€17.500,1
3904,apartment,apartment,10656322,antwerp,2050,Antwerpen,Flanders,17500,Frederik Van Eedenplein 8,2,C,217.0,0,1,7,0,0,2,1969,0,0,1,0,0,1,0,Gas,17500,€17.500,1
3906,apartment,apartment,10656316,liege,4000,Liï¿½ge,Wallonia,230000,Boulevard d'Avroy 19,2,D,339.0,0,0,0,0,26,2,0,Good,0,1,0,0,1,Not installed,0,230000,€230000,0
3907,house,house,10588314,aalst%20nieuwerkerken,9320,Oost-Vlaanderen,Flanders,285000,"Capucienenlaan, 1",3,C,211.0,0,1,22,120,24,2,0,Just renovated,0,1,0,0,2,USA hyper equipped,Gas,285000,€285000,1
3908,house,house,10588313,aalst,9300,Oost-Vlaanderen,Flanders,285000,"Capucienenlaan, 1",3,C,211.0,0,1,22,120,24,2,0,Just renovated,0,1,0,0,2,USA hyper equipped,Gas,285000,€285000,1
3909,house,house,10588312,aalst%20erembodegem,9320,Oost-Vlaanderen,Flanders,285000,"Capucienenlaan, 1",3,C,211.0,0,1,22,120,24,2,0,Just renovated,0,1,0,0,2,USA hyper equipped,Gas,285000,€285000,1
3912,house,house,10656310,la%20louviere,7110,Hainaut,Wallonia,155000,Rue du Moulin 2,2,E,411.0,0,1,11,260,18,2,0,To renovate,0,1,0,0,1,Not installed,Fuel oil,155000,€155000,1
3913,house,house,10656300,hasselt,3512,Limburg,Flanders,294500,Rue de Herve 659,3,F,627.0,0,0,0,575,32,3,1963,Good,0,1,0,0,0,Installed,Gas,294500,€294500,0
3914,house,villa,10656299,gembloux%20bossi%C3%A8re,5032,Namur,Wallonia,499000,"Brusselsesteenweg, 518",5,B,155.0,0,1,28,1000,30,4,1993,Good,0,2,0,1,0,USA hyper equipped,Fuel oil,499000,€499000,1
3915,house,country-cottage,10656298,incourt%20roux-miroir,1315,Brabant wallon,Wallonia,495000,"Brusselsesteenweg, 518",3,D,326.0,0,1,0,900,21,4,1919,Good,0,1,0,0,0,Installed,Fuel oil,495000,€495000,1
3916,house,bungalow,10656297,hamoir,4180,Liï¿½ge,Wallonia,327500,Avenue Louis Libert 1,4,D,263.0,0,1,0,968,47,3,1964,To renovate,0,1,0,1,0,Installed,Fuel oil,327500,€327500,1
3917,house,house,10656295,antwerp,2660,Antwerpen,Flanders,319000,Goedehoopstraat 21,4,C,255.0,0,1,0,82,0,2,0,Good,0,1,0,0,1,Hyper equipped,0,319000,€319000,1
3918,apartment,apartment,10656294,antwerp,2000,Antwerpen,Flanders,159000,Goedehoopstraat 21,1,F,634.0,0,0,0,0,0,2,0,0,0,1,0,0,1,Installed,Gas,159000,€159000,0
3919,apartment,apartment,10656293,antwerp,2140,Antwerpen,Flanders,165000,Goedehoopstraat 21,2,C,247.0,0,0,0,0,23,3,1978,0,0,1,0,0,0,0,0,165000,€165000,0
3920,apartment,apartment,10656291,forest,1190,Brussels Hoofdstedelijk Gewest,Brussels,540000,"Av. de Tervueren, 37",2,G,452.0,0,1,9,0,0,2,1930,To renovate,0,1,0,0,1,0,Fuel oil,540000,€540000,1
3921,house,house,10656290,seraing%20boncelles,4100,Liï¿½ge,Wallonia,261500,Route du Condroz 72,3,B,96.0,0,1,15,112,0,2,2022,0,0,1,0,0,2,0,Gas,261500,€261500,1
3922,apartment,apartment,10656254,beyne-heusay,4610,Liï¿½ge,Wallonia,159000,Voie de L'air Pur 211,2,F,445.0,0,1,0,0,37,0,0,Just renovated,0,1,1,0,1,Semi equipped,Electric,159000,€159000,1
3923,apartment,apartment,10656252,chaudfontaine%20embourg,4053,Liï¿½ge,Wallonia,56344,Voie de L'air Pur 211,1,F,496.0,0,1,20,0,20,2,1973,Good,0,1,0,0,1,Installed,Gas,56344,€563.44,1
3924,apartment,apartment,10656249,gent,9000,Oost-Vlaanderen,Flanders,399000,Baron de Gieylaan 18,3,D,304.0,0,1,0,0,0,2,0,As new,0,1,0,0,0,Hyper equipped,0,399000,€399000,1
3929,house,exceptional-property,10656233,houthalen-helchteren,3530,Limburg,Flanders,320000,Eikenenweg 73/1,4,B,176.0,0,1,0,1610,0,4,1957,Just renovated,0,0,0,0,0,0,Gas,320000,€320000,1
3930,apartment,new-real-estate-project-apartments,10656232,waterloo,1410,Brabant wallon,Wallonia,840000,Avenue Louise 480,0,A,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840000,€840000,0
3931,apartment,apartment,10656231,waterloo,1410,Brabant wallon,Wallonia,495000,Avenue Louise 480,2,B,93.0,0,1,14,0,0,2,2023,0,0,2,1,0,1,Installed,0,495000,€495000,1
3932,apartment,apartment,10656230,waterloo,1410,Brabant wallon,Wallonia,302000,Avenue Louise 480,1,B,93.0,0,1,7,0,0,2,2023,0,0,1,1,0,1,Installed,0,302000,€302000,1
3933,apartment,apartment,10656229,waterloo,1410,Brabant wallon,Wallonia,311000,Avenue Louise 480,1,B,93.0,0,1,18,0,0,2,2023,0,0,1,1,0,1,Installed,0,311000,€311000,1
3934,apartment,apartment,10656228,waterloo,1410,Brabant wallon,Wallonia,530000,Avenue Louise 480,2,B,93.0,0,1,15,0,0,2,2023,0,0,2,1,0,1,Installed,0,530000,€530000,1
3935,house,house,10656227,denderleeuw,9470,Oost-Vlaanderen,Flanders,309000,Steenweg 299,3,D,303.0,0,1,0,651,14,2,0,Good,0,1,0,0,2,Hyper equipped,Gas,309000,€309000,1
3936,apartment,apartment,10656225,mortsel,2640,Antwerpen,Flanders,245000,Antwerpsestraat 292,2,B,154.0,0,0,0,0,0,2,1979,Good,0,1,0,0,1,Semi equipped,Gas,245000,€245000,0
3937,house,house,10656224,beveren%20haasdonk,9120,Oost-Vlaanderen,Flanders,445000,Yzerhand 33,3,B,109.0,0,1,25,316,40,3,2009,As new,0,1,0,0,2,USA hyper equipped,Gas,445000,€445000,1
3938,house,house,10656223,beveren,9120,Oost-Vlaanderen,Flanders,365000,Yzerhand 33,3,B,148.0,0,1,25,301,30,3,1974,Just renovated,0,1,0,0,2,USA hyper equipped,Gas,365000,€365000,1
3939,apartment,apartment,10656218,antwerp,2600,Antwerpen,Flanders,205000,Museumstraat 14 B,2,B,171.0,0,1,5,0,0,2,1968,0,0,1,0,0,0,0,Gas,205000,€205000,1
3940,apartment,apartment,10656216,antwerp,2018,Antwerpen,Flanders,249000,Museumstraat 14 B,2,F,100.17,0,0,0,0,0,2,2015,Good,0,1,0,0,0,0,Gas,249000,€249000,0
3941,house,villa,10547168,londerzeel,1840,Vlaams-Brabant,Flanders,495000,Brusselbaan 90,4,B,200.0,0,1,56,543,44,4,1995,As new,0,2,0,1,3,Hyper equipped,0,495000,€495000,1
3942,house,villa,10656207,knokke-heist,8301,West-Vlaanderen,Flanders,975000,Den Triangel 2,3,B,151.0,0,1,0,614,0,4,2006,As new,0,1,0,0,2,USA hyper equipped,Gas,975000,€975000,1
3943,house,house,10656204,brugge,8000,West-Vlaanderen,Flanders,429000,Jeruzalemstraat 33,4,E,405.0,0,1,0,0,0,2,0,Good,0,2,0,1,0,0,Gas,429000,€429000,1
3944,house,house,10656203,brugge,8000,West-Vlaanderen,Flanders,269000,Jeruzalemstraat 33,2,F,576.0,0,1,0,52,0,3,0,Good,0,1,0,0,1,0,Gas,269000,€269000,1
3945,house,mixed-use-building,10656202,trooz,4870,Liï¿½ge,Wallonia,229000,Grand rue 191,3,G,747.0,0,1,25,140,35,2,1909,To renovate,0,1,0,0,2,Not installed,Fuel oil,229000,€229000,1
3946,house,house,10656197,roosdaal,1760,Vlaams-Brabant,Flanders,437806,"Kerkstraat, 38",3,A,55.54,0,1,0,269,0,3,0,0,0,1,0,0,2,Hyper equipped,0,437806,€437806,1
3947,apartment,apartment,10656196,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,26711,Avenue Baron Albert d'Huart 130,2,G,510.0,0,1,7,0,28,2,1958,Just renovated,0,1,1,0,1,Hyper equipped,Gas,26711,€267.11/month.,1
3948,house,house,10656195,woluwe-saint-pierre,1150,Brussels Hoofdstedelijk Gewest,Brussels,2490000,Avenue Baron Albert d'Huart 130,5,F,342.0,0,1,0,1350,65,4,1923,As new,0,3,1,0,4,Hyper equipped,Gas,2490000,€2490000,1
3953,apartment,apartment,10656183,evere,1140,Brussels Hoofdstedelijk Gewest,Brussels,265000,Cicerolaan 33,2,F,282.0,0,1,8,0,0,0,1968,Good,0,1,0,0,0,Hyper equipped,Gas,265000,€265000,1
3954,house,house,10656182,zaventem,1930,Vlaams-Brabant,Flanders,559000,Cicerolaan 33,3,B,184.0,0,1,0,1030,48,3,1978,Good,0,1,0,0,2,Hyper equipped,Gas,559000,€559000,1
3955,house,house,10656180,meise,1860,Vlaams-Brabant,Flanders,479000,Astridlaan 1,4,B,175.0,0,1,0,306,39,3,1995,As new,0,2,2,0,3,USA hyper equipped,Gas,479000,€479000,1
3956,house,villa,10656177,namur%20champion,5020,Namur,Wallonia,550000,Chaussée de Marche 474,4,F,478.0,0,1,40,3251,0,4,1950,Good,0,1,1,0,2,Installed,Fuel oil,550000,€550000,1
3957,house,town-house,10656176,kapellen,2950,Antwerpen,Flanders,399000,Kattendijkdok Westkaai 33,4,A,80.0,0,1,18,235,63,2,2021,0,0,1,0,0,3,Not installed,0,399000,€399000,1
3958,house,house,10656172,chaumont-gistoux,1325,Brabant wallon,Wallonia,845000,rue du bosquet 3,4,C,241.0,0,0,0,2139,41,4,1980,0,0,2,0,0,0,0,Fuel oil,845000,€845000,0
3959,house,mansion,10656170,waregem,8790,West-Vlaanderen,Flanders,269500,"Roterijstraat, 202",3,C,277.0,0,0,0,143,0,2,0,Good,0,0,0,0,2,Installed,Gas,269500,€269500,0
3960,apartment,apartment,10656168,woluwe-saint-lambert,1200,Brussels Hoofdstedelijk Gewest,Brussels,325000,Rue Voot 4,2,C,117.0,0,1,13,0,25,2,0,Just renovated,0,1,0,0,1,Hyper equipped,Gas,325000,€325000,1
3961,apartment,ground-floor,10656167,schaerbeek,1030,Brussels Hoofdstedelijk Gewest,Brussels,190000,Rue Voot 4,1,G,476.0,0,0,0,0,16,2,1900,As new,0,1,0,0,1,USA hyper equipped,Gas,190000,€190000,0
3962,apartment,loft,10656165,forest,1190,Brussels Hoofdstedelijk Gewest,Brussels,595000,Avenue Louise 120 (4e étage),3,E,230.0,0,1,17,0,75,0,0,Good,0,2,0,0,2,USA hyper equipped,Gas,595000,€595000,1
3963,apartment,apartment,10656164,berchem,2600,Antwerpen,Flanders,349500,"Fruithoflaan, 1",2,B,186.0,0,1,7,0,40,0,1974,Just renovated,0,1,0,0,1,Installed,Gas,349500,€349500,1
3964,apartment,apartment,10656163,berchem,2600,Antwerpen,Flanders,279500,"Fruithoflaan, 1",2,B,195.0,0,1,2,0,35,0,1958,Just renovated,0,1,0,0,1,Installed,Fuel oil,279500,€279500,1
3965,apartment,apartment,10656162,antwerp,2000,Antwerpen,Flanders,495000,Museumstraat 50,2,C,290.0,0,1,30,0,0,0,0,Good,0,1,0,0,1,Semi equipped,Gas,495000,€495000,1
3966,house,house,10656159,nieuwpoort,8620,West-Vlaanderen,Flanders,350000,Koning Ridderdijk 11,3,C,206.0,0,1,0,204,0,0,2001,As new,0,1,0,0,2,USA installed,Gas,350000,€350000,1
3968,house,house,10656152,houthalen-helchteren,3530,Limburg,Flanders,308950,Koeltorenlaan 11/3,3,D,342.0,0,0,0,524,32,0,1978,Good,0,1,0,1,1,0,Gas,308950,€308950,0
3969,house,house,10656147,mortsel,2640,Antwerpen,Flanders,638000,"Meir, 24",3,D,376.0,0,0,0,465,44,0,1957,As new,0,1,0,0,1,Installed,0,638000,€638000,0
3970,house,house,10656144,lichtervelde,8810,West-Vlaanderen,Flanders,139000,Torhoutstraat 119 A,3,F,586.0,0,1,0,121,0,0,1969,Good,0,1,0,1,2,Installed,Gas,139000,€139000,1
3971,house,house,10656143,niel,2845,Antwerpen,Flanders,215000,Verlatstraat 1/4,2,D,396.0,0,0,0,0,22,0,0,As new,0,1,0,0,0,Installed,0,215000,€215000,0
3972,house,villa,10656140,sint-pieters-leeuw,1600,Vlaams-Brabant,Flanders,425000,Bergensesteenweg 273,2,D,346.0,0,0,0,581,0,0,1980,As new,0,1,0,0,1,Installed,Gas,425000,€425000,0
3973,house,house,10656139,vossem,3080,Vlaams-Brabant,Flanders,415000,Bondgenotenlaan 15,3,D,352.0,0,1,0,130,0,0,1979,0,0,1,0,0,1,0,0,415000,€415000,1
3975,house,house,10656136,sint-niklaas,9100,Oost-Vlaanderen,Flanders,298500,Regentiestraat 16,3,C,234.0,0,1,0,185,0,0,0,To be done up,0,1,0,0,0,0,0,298500,€298500,1
3976,house,house,10656134,sint-niklaas,9100,Oost-Vlaanderen,Flanders,395000,Regentiestraat 16,4,E,478.0,0,1,36,440,34,0,1959,As new,0,1,0,1,1,0,Gas,395000,€395000,1
3978,house,house,10619109,oostende,8400,West-Vlaanderen,Flanders,209000,Artanlaan 2,4,F,857.0,0,1,0,0,0,0,0,To renovate,0,1,0,0,2,0,0,209000,€209000,1
3979,house,villa,10656126,oostduinkerke,8670,West-Vlaanderen,Flanders,750000,Artanlaan 2,4,B,156.0,0,0,0,628,0,0,1984,As new,0,1,0,0,2,Installed,Gas,750000,€750000,0
3980,apartment,apartment,10656125,nieuwpoort,8620,West-Vlaanderen,Flanders,289000,Artanlaan 2,2,D,318.0,1,1,0,0,0,0,1977,0,0,1,0,0,0,Hyper equipped,Electric,289000,€289000,1
