,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,Postcode,Price2,Terrace2,Provincie,Gemeenschap
4527,€279000,Dorpshart 10,2,E,436,0,1,87,202,41,3,1950,Good,0,1,0,0,2,Installed,Gas,10361144,2890,279000,1,Antwerpen,Flanders
4528,€62647,Valkebeekstraat 24,2,D,313,0,1,0,0,0,0,1961,Good,0,1,0,0,1,Semi equipped,Gas,10655084,2830,62647,1,Antwerpen,Flanders
4529,€56714,Valkebeekstraat 24,1,D,351,0,1,0,0,0,0,1961,Good,0,1,0,0,1,Semi equipped,Gas,10655083,2830,56714,1,Antwerpen,Flanders
4530,€57180-,Valkebeekstraat 24,2,D,315,0,1,0,0,0,0,1961,Good,0,1,0,0,1,Semi equipped,Gas,10655082,2830,57180,1,Antwerpen,Flanders
4531,€56631.,Valkebeekstraat 24,1,C,296,0,1,0,0,0,0,1961,Good,0,1,0,0,1,Semi equipped,Gas,10655081,2830,56631,1,Antwerpen,Flanders
4532,€56665.,Valkebeekstraat 24,2,E,462,0,1,0,0,0,0,1961,Good,0,1,0,0,1,Semi equipped,Gas,10655080,2830,56665,1,Antwerpen,Flanders
4533,€419000,Rondplein 14/2,4,C,212,0,0,0,733,0,4,1960,To be done up,0,1,0,0,0,0,0,10655076,2400,419000,0,Antwerpen,Flanders
4534,€295000,Route de Marche 143,2,B,159,0,0,0,1303,0,3,1850,Just renovated,0,2,0,1,0,0,Gas,10655075,6972,295000,0,Luxembourg,Wallonia
4535,€395000,Alsembergsesteenweg 660,2,D,347,0,1,0,240,0,3,1965,To be done up,0,2,0,0,2,Semi equipped,Gas,10655069,1650,395000,1,Vlaams-Brabant,Flanders
4536,€725000,Hazeschransstraat 41,4,C,245,0,1,30,339,0,2,1930,0,0,1,0,0,0,Installed,0,10655068,2600,725000,1,Antwerpen,Flanders
4537,€725000,Hazeschransstraat 41,4,C,245,0,1,30,339,0,2,1930,0,0,1,0,0,0,Installed,0,10655067,2600,725000,1,Antwerpen,Flanders
4538,€925000,Hazeschransstraat 41,4,C,210,0,1,0,1808,0,4,1950,0,0,1,0,0,2,0,Gas,10655066,2650,925000,1,Antwerpen,Flanders
4539,€540000,Sint-Gisleinsstraat 53,2,G,434,0,1,0,0,0,0,0,To renovate,0,1,0,0,1,0,0,10655062,1190,540000,1,Brussels Hoofdstedelijk Gewest,Brussels
4540,€540000,Avenue Clémentine 31/4,4,D,193,0,1,12,0,40,2,1926,Good,0,1,1,0,2,Hyper equipped,0,10655058,1060,540000,1,Brussels Hoofdstedelijk Gewest,Brussels
4541,€389000,Les Grands Champs 36,3,E,368,0,1,2,921,37,4,1996,Good,0,1,1,0,2,Installed,Fuel oil,10655057,4780,389000,1,Liï¿½ge,Wallonia
4542,€179000,Stationstraat 16,1,D,304,0,0,0,0,0,0,0,Good,0,0,0,0,1,Installed,Gas,10655056,8420,179000,0,West-Vlaanderen,Flanders
4543,€295000,Route d'Arlon 188a,2,B,87,1,1,5,0,0,2,2013,As new,0,1,0,0,1,USA hyper equipped,Gas,10655050,6791,295000,1,Luxembourg,Wallonia
4544,€549000,Route d'Arlon 188a,4,D,261,0,1,50,924,17,4,1990,As new,0,1,0,1,2,0,Fuel oil,10655049,6780,549000,1,Luxembourg,Wallonia
4545,€175000,Langestraat 71,2,E,428,0,1,8,0,24,3,0,To be done up,0,1,0,0,1,Semi equipped,0,10366762,2845,175000,1,Antwerpen,Flanders
4546,€279000,Mechelbaan 509,3,C,296,0,0,0,95,0,2,0,Just renovated,0,1,0,0,1,Installed,Gas,10655048,2800,279000,0,Antwerpen,Flanders
4547,€845000,Grand' Route 3,4,D,338,0,1,60,2179,0,4,1968,Good,0,1,1,1,2,Installed,Gas,10655046,1330,845000,1,Brabant wallon,Wallonia
4548,€450000,Route de Landen 82,2,D,271,0,0,0,0,50,0,0,As new,0,0,1,0,2,0,Gas,10655045,1350,450000,0,Brabant wallon,Wallonia
4549,€399000,Stationsstraat 97,3,B,141,0,1,25,0,0,2,0,0,0,1,0,0,1,Hyper equipped,Gas,10655044,9100,399000,1,Oost-Vlaanderen,Flanders
4550,€280000,Dr. Persoonslaan 15 b,3,B,116,0,1,0,255,0,2,0,0,0,1,0,0,1,Installed,Gas,10655043,2830,280000,1,Antwerpen,Flanders
4551,€320000,Impasse Saint-Paul 16,3,G,520,0,0,0,1450,45,4,1965,Good,0,1,0,0,0,Installed,Fuel oil,10655042,7623,320000,0,Hainaut,Wallonia
4552,€435000,Sint-Lambertusstraat 32 bus 0001,2,B,137,0,1,10,0,0,2,2004,Good,0,1,0,0,2,Installed,Gas,10655035,3010,435000,1,Vlaams-Brabant,Flanders
4553,€189000,Boulevard Saincetelette 39,3,F,447,0,1,24,662,40,2,0,Good,0,1,0,0,0,Installed,Fuel oil,10655034,7340,189000,1,Hainaut,Wallonia
4554,€530000,Bredabaan 167A,2,D,368,0,0,0,1230,0,0,2005,0,0,0,0,0,0,0,Gas,10655031,2950,530000,0,Antwerpen,Flanders
4555,€624000,Brusselsesteenweg 65,3,D,325,0,0,0,1330,48,3,1934,Good,0,1,0,0,2,Installed,Gas,10655030,1850,624000,0,Vlaams-Brabant,Flanders
4556,€725/month.,Rue Simon 46/2,2,C,228,0,0,0,262,33,2,1979,Good,0,1,1,0,1,Hyper equipped,Gas,8,3,725,0,,
4557,€105000,Avenuedes Ardennes 7d,1,B,159,0,0,0,35,0,2,0,Good,0,1,0,0,1,Semi equipped,Gas,10655022,4500,105000,0,Liï¿½ge,Wallonia
4558,€225000,Gentse Baan 45A,2,D,323,0,1,18,70,0,2,1899,Good,0,1,0,0,0,Installed,Gas,28,20,225000,1,,
4559,€179000,Avenue de Maire 202,3,D,285,0,0,0,0,35,2,0,0,0,1,0,0,2,0,Gas,10655018,7712,179000,0,Hainaut,Wallonia
4560,€195000,Avenue de Maire 202,1,C,175,0,0,0,0,0,2,2009,Just renovated,0,1,1,0,0,0,Gas,10655017,7700,195000,0,Hainaut,Wallonia
4561,€245000,Begijnhof 58,2,C,291,0,1,25,0,0,0,1982,To be done up,0,1,0,0,1,0,Gas,10576608,3800,245000,1,Limburg,Flanders
4562,€245000,Begijnhof 58,2,C,291,0,1,26,0,0,2,1982,To be done up,0,1,0,0,2,Installed,Gas,10576607,3800,245000,1,Limburg,Flanders
4563,€347/month,Avenue Louis Lepoutre 109,3,D,156,0,1,7,0,34,2,1975,To renovate,0,2,1,0,3,USA hyper equipped,Gas,10655015,1180,347,1,Brussels Hoofdstedelijk Gewest,Brussels
4564,€305000,Abeelstraat 9A,3,B,148,0,1,8,0,38,2,0,Just renovated,0,1,0,0,2,Installed,Gas,10655014,7760,305000,1,Hainaut,Wallonia
4565,€305000,Abeelstraat 9A,3,B,148,0,1,8,0,38,2,0,Just renovated,0,1,0,0,2,Installed,Gas,10655013,7760,305000,1,Hainaut,Wallonia
4566,€315000,Avenue Louise 231,2,F,299,0,1,14,0,39,3,1978,Good,0,1,0,0,1,Installed,Gas,10655011,1180,315000,1,Brussels Hoofdstedelijk Gewest,Brussels
4567,€189000,Rue d' Houdeng 196 bte 1,0,Not specified,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7100,20,189000,0,,
4568,€1340000,Bld. Brand Whitlock 108,3,B,88,0,1,0,0,70,2,2023,As new,0,2,0,1,3,USA hyper equipped,Gas,10655004,1180,1340000,1,Brussels Hoofdstedelijk Gewest,Brussels
4569,€175000,Av. Delleur 17,3,E,401,0,0,0,200,32,3,0,Good,0,1,0,0,1,Semi equipped,Fuel oil,89,3,175000,0,,
4570,€375000,Rue de la Brasserie 95,1,Not specified,Not specified,0,0,0,0,35,2,1939,0,0,1,0,1,1,0,0,10654994,1040,375000,0,Brussels Hoofdstedelijk Gewest,Brussels
